"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Brian Dozier","Twins","152","705","34","106","93","16","11.1 %","20.0 %",".227",".300",".271",".359",".498",".362","125","3.6","24.9","0.9","5.0","9810"
"Andrelton Simmons","Angels","158","647","14","77","69","19","7.3 %","10.4 %",".143",".291",".278",".331",".421",".323","103","2.0","4.6","22.6","4.9","10847"
"Marcell Ozuna","Marlins","159","679","37","93","124","1","9.4 %","21.2 %",".237",".355",".312",".376",".548",".388","142","-5.3","31.0","-4.3","4.8","10324"
"Chris Taylor","Dodgers","140","568","21","85","72","17","8.8 %","25.0 %",".208",".361",".288",".354",".496",".361","126","6.7","25.3","3.5","4.7","13757"
"Christian Yelich","Marlins","156","695","18","100","81","16","11.5 %","19.7 %",".156",".336",".282",".369",".439",".348","115","6.8","20.5","2.4","4.5","11477"
"Freddie Freeman","Braves","117","514","28","84","71","8","12.6 %","18.5 %",".280",".335",".307",".403",".586",".407","152","0.7","35.0","-6.4","4.5","5361"
"George Springer","Astros","140","629","34","112","85","5","10.2 %","17.6 %",".239",".297",".283",".367",".522",".376","140","-2.2","28.6","-5.5","4.5","12856"
"Gary Sanchez","Yankees","122","525","33","79","90","2","7.6 %","22.9 %",".253",".304",".278",".345",".531",".368","130","-1.4","17.9","8.6","4.4","11442"
"Daniel Murphy","Nationals","144","593","23","94","93","2","8.8 %","13.0 %",".221",".341",".322",".384",".543",".385","136","-2.0","25.4","-1.0","4.3","4316"
"Buster Posey","Giants","140","568","12","62","67","6","10.7 %","11.6 %",".142",".347",".320",".400",".462",".366","128","-1.8","18.8","5.8","4.3","9166"
"Avisail Garcia","White Sox","136","561","18","75","80","5","5.9 %","19.8 %",".176",".392",".330",".380",".506",".375","137","1.9","27.5","-4.5","4.2","5760"
"Eugenio Suarez","Reds","156","632","26","87","82","4","13.3 %","23.3 %",".200",".309",".260",".367",".461",".356","117","-1.3","12.9","8.3","4.1","12552"
"Eric Hosmer","Royals","162","671","25","98","94","6","9.8 %","15.5 %",".179",".351",".318",".385",".498",".376","135","1.8","30.8","-12.3","4.1","3516"
"Jose Abreu","White Sox","156","675","33","95","102","3","5.2 %","17.6 %",".248",".330",".304",".354",".552",".377","138","-2.0","29.9","-11.7","4.1","15676"
"Jonathan Schoop","Orioles","160","675","32","92","105","1","5.2 %","21.0 %",".211",".330",".293",".338",".503",".355","121","-2.1","15.3","2.8","4.1","11265"
"Lorenzo Cain","Royals","155","645","15","86","49","26","8.4 %","15.5 %",".140",".340",".300",".363",".440",".347","115","3.5","15.3","3.5","4.1","9077"
"Elvis Andrus","Rangers","158","689","20","100","88","25","5.5 %","14.7 %",".174",".325",".297",".337",".471",".344","110","4.4","12.6","4.5","4.1","8709"
"Marwin Gonzalez","Astros","134","515","23","67","90","8","9.5 %","19.2 %",".226",".343",".303",".377",".530",".382","144","0.7","28.5","-5.4","4.1","5497"
"Cody Bellinger","Dodgers","132","548","39","87","97","10","11.7 %","26.6 %",".315",".299",".267",".352",".581",".380","138","2.0","28.7","-6.0","4.0","15998"
"Anthony Rizzo","Cubs","157","691","32","99","109","10","13.2 %","13.0 %",".234",".273",".273",".392",".507",".380","133","-4.2","25.2","-7.5","4.0","3473"
"Didi Gregorius","Yankees","136","570","25","73","87","3","4.4 %","12.3 %",".191",".287",".287",".318",".478",".335","107","3.1","8.2","11.3","3.9","6012"
"Nelson Cruz","Mariners","155","645","39","91","119","1","10.9 %","21.7 %",".261",".315",".288",".375",".549",".385","146","-4.0","32.8","-16.7","3.8","2434"
"Alex Bregman","Astros","155","626","19","88","71","17","8.8 %","15.5 %",".191",".311",".284",".352",".475",".351","122","0.3","17.6","-1.4","3.8","17678"
"Brett Gardner","Yankees","151","682","21","96","63","23","10.6 %","17.9 %",".163",".300",".264",".350",".428",".336","108","6.0","13.2","1.1","3.8","9927"
