Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
122,2011,04,07,04/07/2011,TBA,Dodgers,NL,Giants,NL
123,2011,04,07,04/07/2011,TBA,Royals,AL,Indians,AL
124,2011,04,07,04/07/2011,TBA,Blue Jays,AL,Rangers,AL
125,2011,04,07,04/07/2011,TBA,Rays,AL,Red Sox,AL
126,2011,04,07,04/07/2011,TBA,Tigers,AL,White Sox,AL
127,2011,04,08,04/08/2011,01:10 PM,Padres,NL,Astros,AL
128,2011,04,08,04/08/2011,01:10 PM,Cubs,NL,Brewers,NL
129,2011,04,08,04/08/2011,01:10 PM,Mariners,AL,Twins,AL
130,2011,04,08,04/08/2011,01:15 PM,Diamondbacks,NL,Cardinals,NL
131,2011,04,08,04/08/2011,02:10 PM,Braves,NL,Rockies,NL
132,2011,04,08,04/08/2011,12:05 PM,Orioles,AL,Yankees,AL
133,2011,04,08,04/08/2011,12:35 PM,Mets,NL,Nationals,NL
134,2011,04,08,04/08/2011,12:35 PM,Marlins,NL,Phillies,NL
135,2011,04,08,04/08/2011,12:35 PM,Reds,NL,Pirates,NL
136,2011,04,08,04/08/2011,TBA,Athletics,AL,Angels,AL
137,2011,04,08,04/08/2011,TBA,Dodgers,NL,Giants,NL
138,2011,04,08,04/08/2011,TBA,Royals,AL,Indians,AL
139,2011,04,08,04/08/2011,TBA,Blue Jays,AL,Rangers,AL
140,2011,04,08,04/08/2011,TBA,Rays,AL,Red Sox,AL
141,2011,04,08,04/08/2011,TBA,Tigers,AL,White Sox,AL
142,2011,04,09,04/09/2011,01:20 PM,Pirates,NL,Cubs,NL
143,2011,04,09,04/09/2011,06:05 PM,Braves,NL,Nationals,NL
144,2011,04,09,04/09/2011,06:05 PM,Blue Jays,AL,Orioles,AL
145,2011,04,09,04/09/2011,06:05 PM,Reds,NL,Phillies,NL
146,2011,04,09,04/09/2011,07:10 PM,Astros,AL,Twins,AL
147,2011,04,09,04/09/2011,07:15 PM,Brewers,NL,Cardinals,NL
148,2011,04,09,04/09/2011,07:40 PM,Padres,NL,Rockies,NL
149,2011,04,09,04/09/2011,09:15 PM,Diamondbacks,NL,Giants,NL
150,2011,04,09,04/09/2011,TBA,Tigers,AL,Indians,AL
151,2011,04,09,04/09/2011,TBA,Mets,NL,Marlins,NL
152,2011,04,09,04/09/2011,TBA,Angels,AL,Rangers,AL
153,2011,04,09,04/09/2011,TBA,Mariners,AL,Royals,AL
154,2011,04,09,04/09/2011,TBA,Rays,AL,White Sox,AL
155,2011,04,10,04/10/2011,06:05 PM,Braves,NL,Nationals,NL
156,2011,04,10,04/10/2011,06:05 PM,Blue Jays,AL,Orioles,AL
157,2011,04,10,04/10/2011,06:05 PM,Reds,NL,Phillies,NL
158,2011,04,10,04/10/2011,07:10 PM,Astros,AL,Twins,AL
159,2011,04,10,04/10/2011,07:15 PM,Brewers,NL,Cardinals,NL
160,2011,04,10,04/10/2011,07:40 PM,Padres,NL,Rockies,NL
161,2011,04,10,04/10/2011,09:15 PM,Diamondbacks,NL,Giants,NL
162,2011,04,10,04/10/2011,TBA,Athletics,AL,Dodgers,NL
163,2011,04,10,04/10/2011,TBA,Tigers,AL,Indians,AL
164,2011,04,10,04/10/2011,TBA,Mets,NL,Marlins,NL
165,2011,04,10,04/10/2011,TBA,Angels,AL,Rangers,AL
166,2011,04,10,04/10/2011,TBA,Yankees,AL,Red Sox,AL
167,2011,04,10,04/10/2011,TBA,Mariners,AL,Royals,AL
168,2011,04,10,04/10/2011,TBA,Rays,AL,White Sox,AL
169,2011,04,11,04/11/2011,02:10 PM,Padres,NL,Rockies,NL
170,2011,04,11,04/11/2011,02:45 PM,Diamondbacks,NL,Giants,NL
171,2011,04,11,04/11/2011,06:05 PM,Blue Jays,AL,Orioles,AL
172,2011,04,11,04/11/2011,06:05 PM,Reds,NL,Phillies,NL
173,2011,04,11,04/11/2011,07:05 PM,Pirates,NL,Cubs,NL
174,2011,04,11,04/11/2011,12:05 PM,Braves,NL,Nationals,NL
175,2011,04,11,04/11/2011,12:10 PM,Astros,AL,Twins,AL
176,2011,04,11,04/11/2011,12:15 PM,Brewers,NL,Cardinals,NL
177,2011,04,11,04/11/2011,TBA,Athletics,AL,Dodgers,NL
178,2011,04,11,04/11/2011,TBA,Tigers,AL,Indians,AL
179,2011,04,11,04/11/2011,TBA,Mets,NL,Marlins,NL
180,2011,04,11,04/11/2011,TBA,Angels,AL,Rangers,AL
181,2011,04,11,04/11/2011,TBA,Yankees,AL,Red Sox,AL
182,2011,04,11,04/11/2011,TBA,Mariners,AL,Royals,AL
183,2011,04,11,04/11/2011,TBA,Rays,AL,White Sox,AL
184,2011,04,12,04/12/2011,01:20 PM,Pirates,NL,Cubs,NL
185,2011,04,12,04/12/2011,05:40 PM,Cardinals,NL,Reds,NL
186,2011,04,12,04/12/2011,06:05 PM,Rockies,NL,Nationals,NL
187,2011,04,12,04/12/2011,07:10 PM,White Sox,AL,Twins,AL
188,2011,04,12,04/12/2011,09:10 PM,Giants,NL,Padres,NL
189,2011,04,12,04/12/2011,TBA,Tigers,AL,Indians,AL
190,2011,04,12,04/12/2011,TBA,Yankees,AL,Red Sox,AL
191,2011,04,12,04/12/2011,TBA,Angels,AL,Royals,AL
192,2011,04,13,04/13/2011,01:20 PM,Braves,NL,Cubs,NL
193,2011,04,13,04/13/2011,05:40 PM,Cardinals,NL,Reds,NL
194,2011,04,13,04/13/2011,06:05 PM,Rockies,NL,Nationals,NL
195,2011,04,13,04/13/2011,06:10 PM,Brewers,NL,Mets,NL
196,2011,04,13,04/13/2011,06:10 PM,Yankees,AL,Tigers,AL
197,2011,04,13,04/13/2011,07:10 PM,Rangers,AL,Astros,AL
198,2011,04,13,04/13/2011,07:10 PM,White Sox,AL,Twins,AL
199,2011,04,13,04/13/2011,09:10 PM,Athletics,AL,Mariners,AL
200,2011,04,13,04/13/2011,09:10 PM,Giants,NL,Padres,NL
201,2011,04,13,04/13/2011,TBA,Diamondbacks,NL,Dodgers,NL
202,2011,04,13,04/13/2011,TBA,Blue Jays,AL,Indians,AL
203,2011,04,13,04/13/2011,TBA,Pirates,NL,Marlins,NL
204,2011,04,13,04/13/2011,TBA,Phillies,NL,Rays,AL
205,2011,04,13,04/13/2011,TBA,Orioles,AL,Red Sox,AL
206,2011,04,13,04/13/2011,TBA,Angels,AL,Royals,AL
207,2011,04,14,04/14/2011,01:10 PM,White Sox,AL,Twins,AL
208,2011,04,14,04/14/2011,06:10 PM,Rangers,AL,Astros,AL
209,2011,04,14,04/14/2011,06:10 PM,Brewers,NL,Mets,NL
210,2011,04,14,04/14/2011,07:40 PM,Giants,NL,Padres,NL
211,2011,04,14,04/14/2011,08:10 PM,Athletics,AL,Mariners,AL
212,2011,04,14,04/14/2011,12:05 PM,Rockies,NL,Nationals,NL
213,2011,04,14,04/14/2011,12:10 PM,Cardinals,NL,Reds,NL
214,2011,04,14,04/14/2011,12:10 PM,Yankees,AL,Tigers,AL
215,2011,04,14,04/14/2011,TBA,Braves,NL,Cubs,NL
216,2011,04,14,04/14/2011,TBA,Diamondbacks,NL,Dodgers,NL
217,2011,04,14,04/14/2011,TBA,Blue Jays,AL,Indians,AL
218,2011,04,14,04/14/2011,TBA,Pirates,NL,Marlins,NL
219,2011,04,14,04/14/2011,TBA,Phillies,NL,Rays,AL
220,2011,04,14,04/14/2011,TBA,Orioles,AL,Red Sox,AL
221,2011,04,14,04/14/2011,TBA,Angels,AL,Royals,AL
222,2011,04,15,04/15/2011,01:10 PM,Rangers,AL,Astros,AL
223,2011,04,15,04/15/2011,01:10 PM,White Sox,AL,Twins,AL
224,2011,04,15,04/15/2011,03:10 PM,Athletics,AL,Mariners,AL
225,2011,04,15,04/15/2011,03:10 PM,Giants,NL,Padres,NL
226,2011,04,15,04/15/2011,12:10 PM,Brewers,NL,Mets,NL
227,2011,04,15,04/15/2011,12:10 PM,Cardinals,NL,Reds,NL
228,2011,04,15,04/15/2011,12:10 PM,Yankees,AL,Tigers,AL
229,2011,04,15,04/15/2011,12:35 PM,Rockies,NL,Nationals,NL
230,2011,04,15,04/15/2011,TBA,Braves,NL,Cubs,NL
231,2011,04,15,04/15/2011,TBA,Diamondbacks,NL,Dodgers,NL
232,2011,04,15,04/15/2011,TBA,Blue Jays,AL,Indians,AL
233,2011,04,15,04/15/2011,TBA,Pirates,NL,Marlins,NL
234,2011,04,15,04/15/2011,TBA,Phillies,NL,Rays,AL
235,2011,04,15,04/15/2011,TBA,Orioles,AL,Red Sox,AL
236,2011,04,15,04/15/2011,TBA,Angels,AL,Royals,AL
237,2011,04,16,04/16/2011,05:35 PM,Marlins,NL,Yankees,AL
238,2011,04,16,04/16/2011,06:05 PM,Rockies,NL,Pirates,NL
239,2011,04,16,04/16/2011,06:07 PM,Royals,AL,Blue Jays,AL
240,2011,04,16,04/16/2011,06:10 PM,Nationals,NL,Mets,NL
241,2011,04,16,04/16/2011,06:40 PM,Reds,NL,Brewers,NL
242,2011,04,16,04/16/2011,07:05 PM,Cardinals,NL,Cubs,NL
243,2011,04,16,04/16/2011,09:05 PM,White Sox,AL,Athletics,AL
244,2011,04,16,04/16/2011,09:10 PM,Astros,AL,Mariners,AL
245,2011,04,16,04/16/2011,09:10 PM,Dodgers,NL,Padres,NL
246,2011,04,16,04/16/2011,TBA,Phillies,NL,Braves,NL
