"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Brandon Gomes","Rays","34.9 %","70.6 %","50.3 %","60.8 %","87.1 %","76.7 %","43.2 %","62.9 %","11.6 %","2267"
"Christian Friedrich","Rockies","34.9 %","68.4 %","49.0 %","57.4 %","90.7 %","77.0 %","42.2 %","54.4 %","11.2 %","7942"
"Pedro Strop","Cubs","34.9 %","63.7 %","46.6 %","40.2 %","81.4 %","63.2 %","40.7 %","57.8 %","16.8 %","4070"
"Madison Bumgarner","Giants","34.8 %","69.1 %","50.2 %","56.4 %","86.7 %","75.1 %","44.8 %","64.2 %","12.5 %","5524"
"Chris Sale","White Sox","34.8 %","67.0 %","49.3 %","58.0 %","78.2 %","70.4 %","45.1 %","67.3 %","14.6 %","10603"
"Keone Kela","Rangers","34.8 %","66.7 %","49.6 %","47.4 %","87.5 %","72.4 %","46.4 %","58.4 %","13.7 %","14696"
"Cole Hamels","- - -","34.8 %","69.9 %","50.1 %","56.3 %","84.5 %","73.5 %","43.7 %","60.8 %","13.3 %","4972"
"Tommy Hunter","- - -","34.7 %","70.2 %","52.6 %","60.0 %","89.3 %","79.7 %","50.4 %","65.9 %","10.6 %","1157"
"Yusmeiro Petit","Giants","34.7 %","69.5 %","49.9 %","69.9 %","86.9 %","80.3 %","43.8 %","62.3 %","9.8 %","4020"
"Joe Ross","Nationals","34.7 %","66.7 %","48.6 %","62.4 %","84.4 %","75.5 %","43.5 %","58.9 %","11.9 %","12972"
"Shane Greene","Tigers","34.5 %","63.8 %","48.0 %","72.5 %","92.5 %","84.8 %","46.3 %","61.9 %","7.2 %","10756"
"Martin Perez","Rangers","34.5 %","67.9 %","48.2 %","77.3 %","89.6 %","84.4 %","40.9 %","65.2 %","7.5 %","6902"
"Clayton Kershaw","Dodgers","34.4 %","68.7 %","51.2 %","51.3 %","78.2 %","68.9 %","48.9 %","68.2 %","15.9 %","2036"
"Brad Brach","Orioles","34.4 %","69.2 %","47.6 %","60.3 %","80.4 %","71.4 %","38.0 %","58.3 %","13.5 %","6627"
"Pat Neshek","Astros","34.3 %","69.3 %","52.4 %","61.4 %","89.1 %","80.4 %","51.7 %","69.1 %","10.3 %","4682"
"Jerad Eickhoff","Phillies","34.3 %","64.6 %","47.8 %","65.3 %","86.8 %","78.2 %","44.4 %","65.0 %","10.4 %","12664"
"Jim Johnson","- - -","34.3 %","63.6 %","48.2 %","73.0 %","89.5 %","83.3 %","47.3 %","61.2 %","8.0 %","3656"
"Will Smith","Brewers","34.3 %","61.5 %","45.6 %","44.3 %","83.9 %","66.6 %","41.8 %","59.9 %","15.2 %","8048"
"Jake Arrieta","Cubs","34.2 %","63.0 %","46.9 %","61.3 %","86.7 %","76.3 %","44.1 %","60.2 %","11.1 %","4153"
"Jerome Williams","Phillies","34.2 %","68.6 %","48.8 %","70.0 %","90.0 %","81.9 %","42.3 %","61.8 %","8.8 %","1137"
"Tommy Milone","Twins","34.2 %","62.4 %","44.6 %","75.2 %","88.1 %","81.9 %","37.1 %","63.9 %","8.1 %","7608"
"Blake Treinen","Nationals","34.1 %","60.4 %","46.4 %","54.4 %","90.1 %","76.1 %","46.6 %","59.3 %","10.9 %","12572"
"Fernando Rodriguez","Athletics","34.1 %","72.4 %","51.0 %","63.6 %","80.8 %","74.4 %","44.0 %","59.5 %","13.0 %","7558"
"Jonathan Broxton","- - -","34.1 %","72.8 %","51.1 %","64.2 %","84.8 %","77.1 %","43.8 %","59.9 %","11.6 %","4759"
"A.J. Ramos","Marlins","34.0 %","66.2 %","46.7 %","44.6 %","82.4 %","65.8 %","39.5 %","59.2 %","16.0 %","8350"
"Tony Sipp","Astros","34.0 %","70.2 %","49.0 %","53.3 %","82.2 %","70.4 %","41.5 %","64.8 %","14.4 %","8280"
"Drew Smyly","Rays","34.0 %","63.4 %","47.9 %","58.8 %","86.8 %","76.3 %","47.2 %","60.4 %","11.4 %","11760"
"Brett Cecil","Blue Jays","34.0 %","67.1 %","48.3 %","46.8 %","83.1 %","68.6 %","43.4 %","59.8 %","15.0 %","2660"
"Jeff Samardzija","White Sox","34.0 %","69.3 %","50.8 %","67.5 %","87.8 %","80.7 %","47.6 %","62.4 %","9.8 %","3254"
"Ivan Nova","Yankees","33.9 %","64.4 %","46.3 %","72.1 %","91.7 %","83.2 %","40.6 %","54.7 %","7.8 %","1994"
"Michael Pineda","Yankees","33.9 %","68.9 %","50.6 %","59.9 %","85.3 %","76.4 %","47.7 %","63.8 %","11.9 %","5372"
"Jose Alvarez","Angels","33.8 %","66.4 %","48.5 %","60.8 %","87.3 %","77.1 %","44.9 %","68.6 %","10.9 %","5358"
"David Price","- - -","33.7 %","68.6 %","50.7 %","66.7 %","81.7 %","76.6 %","48.7 %","67.0 %","11.9 %","3184"
"Miguel Gonzalez","Orioles","33.7 %","69.7 %","48.7 %","72.0 %","88.4 %","81.8 %","41.7 %","62.1 %","8.9 %","7024"
"Ryan Mattheus","- - -","33.7 %","66.4 %","48.1 %","68.8 %","92.3 %","83.1 %","44.0 %","61.3 %","8.1 %","7169"
"Brad Boxberger","Rays","33.6 %","64.5 %","47.5 %","67.2 %","78.5 %","74.1 %","45.0 %","55.7 %","12.1 %","10133"
"Huston Street","Angels","33.5 %","71.1 %","47.7 %","59.5 %","81.6 %","71.9 %","37.8 %","55.7 %","13.2 %","8258"
"Tyler Lyons","Cardinals","33.5 %","57.7 %","45.3 %","60.0 %","90.3 %","78.8 %","48.6 %","60.4 %","9.6 %","11334"
"George Kontos","Giants","33.5 %","73.4 %","52.3 %","64.7 %","88.6 %","80.6 %","47.2 %","58.5 %","10.1 %","9486"
"Zach Duke","White Sox","33.4 %","62.3 %","44.6 %","61.0 %","86.0 %","74.5 %","38.6 %","54.9 %","11.2 %","3840"
"Collin McHugh","Astros","33.4 %","65.7 %","47.8 %","66.6 %","85.9 %","78.4 %","44.4 %","62.2 %","10.3 %","7531"
"Felix Hernandez","Mariners","33.4 %","62.9 %","46.3 %","60.3 %","88.4 %","76.9 %","43.7 %","63.4 %","10.7 %","4772"
"Jorge de la Rosa","Rockies","33.3 %","68.9 %","47.7 %","59.3 %","86.8 %","75.3 %","40.4 %","58.4 %","11.7 %","2047"
"Joe Smith","Angels","33.3 %","63.7 %","46.9 %","77.4 %","87.8 %","83.7 %","44.7 %","63.1 %","7.5 %","3281"
"Matt Cain","Giants","33.3 %","65.9 %","47.0 %","70.7 %","88.0 %","80.9 %","42.2 %","59.0 %","9.0 %","4732"
"Dallas Keuchel","Astros","33.3 %","62.2 %","44.1 %","62.3 %","89.3 %","76.6 %","37.6 %","61.3 %","10.3 %","9434"
"Zack Greinke","Dodgers","33.3 %","69.1 %","47.5 %","60.6 %","85.1 %","74.8 %","39.9 %","64.1 %","12.0 %","1943"
"Raisel Iglesias","Reds","33.3 %","63.7 %","47.5 %","56.3 %","86.7 %","75.4 %","46.8 %","61.8 %","11.7 %","17130"
"Casey Fien","Twins","33.2 %","73.0 %","52.1 %","75.6 %","87.1 %","83.2 %","47.4 %","68.1 %","8.7 %","3926"
"Joakim Soria","- - -","33.2 %","69.9 %","49.4 %","69.0 %","86.0 %","79.7 %","44.3 %","61.0 %","10.0 %","6941"
"Aroldis Chapman","Reds","33.2 %","67.6 %","47.7 %","49.3 %","66.4 %","59.5 %","42.3 %","55.8 %","19.3 %","10233"
"Vidal Nuno","- - -","33.2 %","66.5 %","48.3 %","66.0 %","85.1 %","77.9 %","45.4 %","65.2 %","10.6 %","9674"
"Kenley Jansen","Dodgers","33.1 %","73.6 %","56.1 %","57.9 %","74.6 %","70.3 %","56.7 %","69.5 %","16.6 %","3096"
"Kevin Gausman","Orioles","33.1 %","69.7 %","48.7 %","67.7 %","83.8 %","77.6 %","42.6 %","54.9 %","10.9 %","14107"
"Charlie Morton","Pirates","33.1 %","63.7 %","46.6 %","69.5 %","91.9 %","83.0 %","44.2 %","61.8 %","7.8 %","4676"
"Pedro Baez","Dodgers","33.0 %","76.8 %","54.1 %","64.1 %","75.7 %","72.0 %","48.0 %","66.4 %","15.0 %","5420"
"Nick Martinez","Rangers","33.0 %","61.5 %","44.8 %","73.4 %","91.3 %","83.5 %","41.4 %","60.4 %","7.4 %","12730"
"Ryan Madson","Royals","33.0 %","67.8 %","49.7 %","60.8 %","80.1 %","73.4 %","48.0 %","66.5 %","13.1 %","1852"
"Jason Hammel","Cubs","33.0 %","66.4 %","47.8 %","62.8 %","86.1 %","77.1 %","44.3 %","60.9 %","10.9 %","4538"
"Noah Syndergaard","Mets","32.8 %","67.3 %","47.5 %","57.8 %","85.0 %","74.2 %","42.5 %","64.3 %","12.2 %","11762"
"Carlos Frias","Dodgers","32.8 %","68.8 %","47.9 %","63.4 %","90.6 %","79.8 %","42.0 %","61.0 %","9.7 %","3547"
"Carlos Villanueva","Cardinals","32.7 %","65.9 %","46.4 %","55.9 %","86.4 %","73.7 %","41.1 %","62.8 %","12.1 %","4138"
"Roberto Osuna","Blue Jays","32.7 %","69.9 %","49.9 %","58.6 %","76.9 %","70.4 %","46.2 %","63.1 %","14.7 %","13764"
"David Hale","Rockies","32.7 %","69.6 %","49.0 %","66.1 %","83.8 %","77.2 %","44.1 %","60.7 %","11.1 %","9756"
"CC Sabathia","Yankees","32.7 %","63.7 %","45.8 %","67.0 %","89.2 %","80.1 %","42.4 %","62.5 %","9.1 %","404"
"Carlos Martinez","Cardinals","32.5 %","65.1 %","47.3 %","61.8 %","87.1 %","77.6 %","45.3 %","63.2 %","10.5 %","11682"
"Jordan Zimmermann","Nationals","32.5 %","68.2 %","50.0 %","69.7 %","89.9 %","83.2 %","49.0 %","67.5 %","8.4 %","4505"
"Jake Peavy","Giants","32.4 %","69.4 %","49.1 %","71.3 %","90.6 %","83.6 %","45.0 %","63.4 %","8.0 %","1051"
"Francisco Liriano","Pirates","32.4 %","64.8 %","44.0 %","51.0 %","82.3 %","67.5 %","35.8 %","57.6 %","14.3 %","3201"
"Ken Giles","Phillies","32.4 %","72.5 %","50.8 %","51.5 %","80.9 %","70.7 %","46.0 %","60.1 %","14.8 %","12910"
"Daniel Hudson","Diamondbacks","32.4 %","70.3 %","48.4 %","61.9 %","79.9 %","72.9 %","42.4 %","57.6 %","13.0 %","7146"
"Bryan Morris","Marlins","32.4 %","69.4 %","48.8 %","55.8 %","87.7 %","76.0 %","44.4 %","63.5 %","11.7 %","10234"
"Tyler Clippard","- - -","32.4 %","70.8 %","49.4 %","69.4 %","79.5 %","75.8 %","44.3 %","55.8 %","11.9 %","5640"
"Tyler Duffey","Twins","32.4 %","62.3 %","45.5 %","63.0 %","88.7 %","78.5 %","43.8 %","63.6 %","9.8 %","13758"
"Michael Wacha","Cardinals","32.4 %","70.2 %","50.5 %","72.5 %","85.3 %","81.0 %","48.0 %","63.3 %","9.5 %","14078"
"Shawn Kelley","Padres","32.3 %","68.6 %","49.4 %","48.5 %","80.9 %","69.6 %","47.0 %","73.2 %","14.7 %","7773"
"Mike Foltynewicz","Braves","32.3 %","69.9 %","50.3 %","70.3 %","88.5 %","82.4 %","47.9 %","63.2 %","8.9 %","10811"
"Clay Buchholz","Red Sox","32.3 %","66.8 %","49.2 %","61.6 %","86.9 %","78.5 %","49.2 %","65.0 %","10.6 %","3543"
"Jimmy Nelson","Brewers","32.2 %","64.2 %","46.6 %","64.2 %","87.3 %","78.6 %","45.1 %","60.8 %","10.0 %","10547"
"Rubby de la Rosa","Diamondbacks","32.2 %","68.7 %","48.8 %","66.7 %","83.1 %","77.2 %","45.4 %","57.6 %","11.1 %","3862"
"Kyle Lobstein","Tigers","32.2 %","62.9 %","44.4 %","75.4 %","89.2 %","83.2 %","39.7 %","56.8 %","7.4 %","9178"
"John Lackey","Cardinals","32.2 %","69.1 %","50.1 %","65.4 %","88.9 %","81.1 %","48.5 %","70.8 %","9.4 %","1507"
"Drew Hutchison","Blue Jays","32.1 %","67.8 %","48.0 %","69.9 %","85.7 %","79.8 %","44.5 %","65.1 %","9.7 %","10732"
"Cody Anderson","Indians","32.0 %","71.5 %","50.2 %","73.9 %","89.9 %","84.4 %","46.2 %","60.6 %","7.8 %","12799"
"Matt Harvey","Mets","32.0 %","65.4 %","47.9 %","62.3 %","82.9 %","75.7 %","47.7 %","68.2 %","11.6 %","11713"
"David Robertson","White Sox","31.9 %","65.5 %","47.5 %","48.8 %","82.1 %","70.1 %","46.5 %","68.4 %","14.1 %","8241"
"Arquimedes Caminero","Pirates","31.9 %","72.5 %","51.7 %","60.6 %","82.1 %","75.4 %","48.9 %","62.3 %","12.6 %","8992"
"Justin Nicolino","Marlins","31.9 %","68.1 %","49.2 %","85.6 %","91.8 %","89.7 %","47.9 %","64.8 %","5.1 %","11754"
"Bartolo Colon","Mets","31.8 %","64.2 %","48.4 %","80.6 %","89.7 %","86.8 %","51.1 %","66.6 %","6.4 %","375"
"Wei-Yin Chen","Orioles","31.8 %","70.1 %","50.9 %","73.6 %","87.3 %","83.0 %","49.8 %","68.4 %","8.6 %","13071"
"Jeremy Hellickson","Diamondbacks","31.8 %","68.1 %","47.4 %","65.0 %","86.6 %","78.3 %","43.0 %","62.9 %","10.3 %","4371"
"Junichi Tazawa","Red Sox","31.8 %","70.7 %","49.8 %","61.7 %","84.6 %","76.7 %","46.3 %","64.0 %","11.5 %","4079"
"Erasmo Ramirez","Rays","31.8 %","68.0 %","49.2 %","61.7 %","84.6 %","77.0 %","48.1 %","65.3 %","11.3 %","10314"
"Brandon Maurer","Padres","31.8 %","68.6 %","47.0 %","56.5 %","85.2 %","73.8 %","41.2 %","61.7 %","12.3 %","4878"
"Jesse Hahn","Athletics","31.7 %","66.3 %","46.8 %","71.1 %","91.8 %","83.9 %","43.5 %","60.8 %","7.5 %","13287"
"Luke Hochevar","Royals","31.7 %","66.9 %","48.6 %","62.5 %","87.5 %","79.0 %","47.9 %","63.6 %","10.2 %","6943"
"Doug Fister","Nationals","31.7 %","59.5 %","44.1 %","83.0 %","91.5 %","88.1 %","44.6 %","62.4 %","5.2 %","9425"
"Hector Rondon","Cubs","31.7 %","70.8 %","49.2 %","59.0 %","88.2 %","77.8 %","44.7 %","63.7 %","10.8 %","2391"
"James Shields","Padres","31.7 %","66.5 %","45.4 %","56.3 %","84.4 %","72.5 %","39.5 %","60.6 %","12.4 %","7059"
"Chris Archer","Rays","31.6 %","63.9 %","46.9 %","52.4 %","83.8 %","72.6 %","47.2 %","64.1 %","12.8 %","6345"
"Ryan Webb","Indians","31.6 %","66.2 %","47.9 %","73.9 %","85.4 %","81.4 %","47.0 %","65.7 %","8.8 %","7474"
"Blaine Boyer","Twins","31.6 %","68.1 %","49.7 %","74.0 %","88.7 %","84.0 %","49.6 %","63.8 %","7.8 %","2237"
"Adam Morgan","Phillies","31.6 %","70.6 %","50.1 %","67.6 %","87.1 %","80.6 %","47.4 %","66.5 %","9.7 %","12580"
"Danny Salazar","Indians","31.6 %","69.3 %","49.6 %","63.9 %","82.5 %","76.3 %","47.9 %","59.1 %","11.8 %","5867"
"Kris Medlen","Royals","31.6 %","61.2 %","45.1 %","66.7 %","89.6 %","80.9 %","45.6 %","58.4 %","8.6 %","9417"
"Brett Anderson","Dodgers","31.5 %","61.8 %","45.2 %","70.8 %","92.9 %","84.5 %","45.4 %","58.5 %","7.0 %","8223"
"Jake Petricka","White Sox","31.5 %","65.8 %","47.2 %","67.4 %","86.7 %","79.7 %","45.8 %","64.6 %","9.4 %","10534"
"Jake Diekman","- - -","31.5 %","65.6 %","45.9 %","58.8 %","84.9 %","74.6 %","42.4 %","59.2 %","11.7 %","5003"
"Stephen Strasburg","Nationals","31.5 %","63.1 %","47.1 %","58.2 %","85.4 %","76.2 %","49.5 %","65.6 %","11.2 %","10131"
"Jake Odorizzi","Rays","31.5 %","68.8 %","48.4 %","68.2 %","85.1 %","79.1 %","45.2 %","60.4 %","10.1 %","6397"
"Tanner Roark","Nationals","31.4 %","66.2 %","46.7 %","75.2 %","90.4 %","84.7 %","44.0 %","60.0 %","7.1 %","8753"
"Phil Hughes","Twins","31.4 %","67.9 %","51.1 %","81.5 %","92.2 %","89.2 %","54.1 %","71.7 %","5.5 %","7450"
"Chris Rusin","Rockies","31.4 %","66.7 %","47.4 %","72.9 %","87.6 %","82.3 %","45.4 %","67.0 %","8.3 %","9895"
"Scott Kazmir","- - -","31.4 %","69.0 %","48.1 %","64.3 %","86.6 %","78.5 %","44.5 %","60.9 %","10.3 %","4897"
"Henry Owens","Red Sox","31.4 %","71.6 %","47.9 %","64.1 %","81.1 %","74.6 %","41.2 %","54.0 %","12.2 %","13143"
"Edwin Jackson","- - -","31.3 %","72.1 %","47.6 %","59.8 %","88.8 %","77.4 %","39.9 %","54.4 %","10.7 %","1841"
"Justin Verlander","Tigers","31.3 %","69.1 %","48.4 %","70.1 %","84.5 %","79.4 %","45.2 %","63.9 %","10.0 %","8700"
"Hunter Strickland","Giants","31.3 %","76.1 %","54.4 %","64.0 %","78.1 %","74.1 %","51.5 %","64.9 %","14.0 %","7836"
"Ervin Santana","Twins","31.3 %","66.9 %","46.1 %","66.2 %","87.7 %","79.2 %","41.6 %","61.7 %","9.5 %","3200"
"Cody Allen","Indians","31.2 %","61.1 %","44.4 %","48.2 %","84.3 %","70.0 %","43.9 %","59.8 %","13.3 %","12183"
"Adam Conley","Marlins","31.2 %","72.3 %","49.9 %","67.9 %","85.9 %","79.8 %","45.5 %","58.4 %","10.1 %","14457"
"R.A. Dickey","Blue Jays","31.2 %","69.2 %","49.2 %","74.9 %","84.9 %","81.6 %","47.5 %","58.9 %","9.1 %","1245"
"Antonio Bastardo","Pirates","31.1 %","76.0 %","50.7 %","63.6 %","75.0 %","71.1 %","43.7 %","62.3 %","14.6 %","8844"
"Carlos Torres","Mets","31.1 %","73.1 %","51.3 %","58.6 %","91.1 %","80.9 %","48.1 %","61.7 %","9.6 %","7624"
"Garrett Richards","Angels","31.1 %","64.3 %","45.9 %","53.9 %","88.8 %","75.7 %","44.5 %","60.0 %","11.1 %","9784"
"Mark Buehrle","Blue Jays","31.1 %","68.1 %","47.9 %","85.2 %","91.3 %","89.1 %","45.4 %","61.6 %","5.2 %","225"
"Gerrit Cole","Pirates","31.1 %","67.2 %","47.8 %","59.9 %","88.8 %","78.7 %","46.3 %","61.5 %","10.2 %","13125"
"Trevor May","Twins","31.0 %","68.5 %","49.1 %","67.0 %","84.0 %","78.5 %","48.3 %","63.2 %","10.5 %","6398"
"Mat Latos","- - -","31.0 %","68.8 %","49.0 %","63.9 %","87.5 %","79.7 %","47.8 %","61.5 %","9.9 %","3815"
"Craig Breslow","Red Sox","30.9 %","74.4 %","49.5 %","68.7 %","85.0 %","79.2 %","42.6 %","55.0 %","10.1 %","4363"
"Kyle Lohse","Brewers","30.9 %","66.7 %","45.6 %","66.1 %","89.1 %","79.9 %","41.2 %","64.2 %","9.1 %","739"
"Anibal Sanchez","Tigers","30.9 %","63.6 %","45.4 %","69.2 %","85.7 %","79.4 %","44.3 %","65.5 %","9.3 %","3284"
"Shelby Miller","Braves","30.8 %","69.3 %","49.4 %","68.2 %","87.4 %","81.2 %","48.1 %","60.7 %","9.2 %","10197"
"Ian Kennedy","Padres","30.8 %","68.0 %","46.7 %","65.4 %","85.2 %","77.7 %","42.7 %","61.6 %","10.3 %","6986"
"Mark Lowe","- - -","30.8 %","66.0 %","48.3 %","50.4 %","80.1 %","70.6 %","49.8 %","67.4 %","14.1 %","7416"
"Jose Quintana","White Sox","30.8 %","65.5 %","46.6 %","64.4 %","88.9 %","80.1 %","45.6 %","69.3 %","9.2 %","11423"
"Adam Warren","Yankees","30.8 %","64.5 %","44.7 %","72.5 %","86.4 %","80.8 %","41.4 %","59.9 %","8.6 %","9029"
"Jeremy Jeffress","Brewers","30.8 %","67.0 %","46.7 %","60.8 %","83.6 %","75.2 %","44.1 %","55.8 %","11.4 %","9490"
"Josh Fields","Astros","30.7 %","70.7 %","49.5 %","58.0 %","81.6 %","73.8 %","47.1 %","60.8 %","12.8 %","5070"
"Kevin Jepsen","- - -","30.7 %","68.1 %","46.3 %","64.9 %","85.4 %","77.5 %","41.6 %","57.9 %","10.4 %","6475"
"Matt Moore","Rays","30.7 %","67.8 %","48.1 %","64.0 %","87.5 %","79.5 %","46.9 %","60.1 %","9.9 %","1890"
"Justin Wilson","Yankees","30.7 %","71.5 %","51.5 %","65.6 %","81.2 %","76.7 %","51.2 %","60.3 %","12.0 %","4301"
"Andrew Heaney","Angels","30.6 %","67.4 %","46.9 %","65.8 %","90.8 %","81.7 %","44.1 %","61.6 %","8.6 %","15423"
"Matt Garza","Brewers","30.6 %","69.4 %","48.1 %","71.1 %","90.4 %","83.7 %","45.0 %","61.7 %","7.8 %","3340"
"Tim Lincecum","Giants","30.6 %","63.6 %","44.3 %","62.3 %","84.7 %","75.6 %","41.5 %","49.9 %","10.7 %","5705"
"Santiago Casilla","Giants","30.6 %","62.9 %","43.8 %","58.3 %","88.8 %","76.2 %","40.9 %","57.0 %","10.4 %","2873"
"Colby Lewis","Rangers","30.5 %","64.9 %","46.5 %","67.5 %","90.3 %","82.3 %","46.6 %","62.7 %","8.2 %","1259"
"Jon Lester","Cubs","30.5 %","67.0 %","45.3 %","62.2 %","87.1 %","77.1 %","40.6 %","61.0 %","10.4 %","4930"
"Josh Tomlin","Indians","30.5 %","67.9 %","49.0 %","64.4 %","88.4 %","80.9 %","49.5 %","66.1 %","9.4 %","9388"
"Dan Haren","- - -","30.4 %","63.5 %","44.7 %","77.3 %","91.7 %","86.1 %","43.2 %","63.7 %","6.2 %","1757"
"Roberto Hernandez","Astros","30.4 %","63.0 %","43.8 %","75.3 %","92.4 %","85.4 %","41.2 %","63.6 %","6.4 %","3273"
"Vince Velasquez","Astros","30.4 %","69.7 %","48.6 %","63.5 %","86.0 %","78.5 %","46.4 %","61.5 %","10.5 %","11189"
"John Danks","White Sox","30.3 %","68.3 %","47.9 %","70.9 %","86.4 %","81.2 %","46.3 %","62.6 %","9.0 %","6329"
"Chad Bettis","Rockies","30.3 %","68.3 %","45.8 %","57.3 %","92.4 %","78.6 %","40.8 %","58.4 %","9.8 %","10587"
"Alexi Ogando","Red Sox","30.3 %","71.2 %","47.8 %","66.3 %","82.0 %","76.3 %","42.8 %","60.3 %","11.2 %","10261"
"Taijuan Walker","Mariners","30.3 %","66.8 %","47.4 %","65.3 %","86.0 %","78.9 %","46.8 %","62.9 %","10.0 %","11836"
