"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Brad Brach","Orioles","63.2 %","95.0","14.5 %","86.1","","","","","22.3 %","87.0","","","","","0.1 %","6627"
"Charlie Morton","Astros","54.3 %","95.0","","","11.2 %","87.9","28.4 %","80.5","6.2 %","86.3","","","","","0.3 %","4676"
"Justin Grimm","Cubs","56.3 %","94.9","2.5 %","86.5","","","41.2 %","82.0","","","","","","","","11720"
"Jake McGee","Rockies","93.5 %","94.9","5.1 %","80.0","","","1.4 %","75.5","","","","","","","","7550"
"Hansel Robles","Mets","65.8 %","94.9","24.8 %","85.8","","","","","9.5 %","88.9","","","","","0.8 %","11801"
"Jose Torres","Padres","76.7 %","94.9","18.4 %","82.9","","","","","4.9 %","88.8","","","","","0.1 %","14957"
"Jhan Marinez","- - -","67.3 %","94.8","22.4 %","86.2","","","","","10.3 %","91.4","","","","","1.2 %","5830"
"Joaquin Benoit","- - -","59.4 %","94.8","12.7 %","87.4","","","","","28.0 %","84.5","","","","","0.2 %","1437"
"Kyle Barraclough","Marlins","54.4 %","94.8","41.2 %","80.1","","","","","4.4 %","88.7","","","","","0.6 %","13713"
"Sean Doolittle","- - -","87.7 %","94.7","5.2 %","81.0","","","","","7.1 %","85.6","","","","","0.5 %","1581"
"Liam Hendriks","Athletics","74.2 %","94.7","22.0 %","87.2","","","3.4 %","79.0","0.3 %","87.5","","","","","","3548"
"Luke Jackson","Braves","51.8 %","94.7","29.9 %","86.0","","","18.0 %","81.5","0.3 %","","","","","","2.0 %","11752"
"Hector Neris","Phillies","48.6 %","94.7","0.3 %","88.0","","","","","","","51.1 %","87.0","","","0.7 %","11804"
"Anthony Swarzak","- - -","48.5 %","94.7","51.6 %","87.1","","","","","","","","","","","1.3 %","7466"
"Tyler Chatwood","Rockies","63.5 %","94.7","","","20.8 %","89.4","11.2 %","79.5","4.5 %","87.4","","","","","0.2 %","4338"
"Chris Beck","White Sox","57.5 %","94.6","25.5 %","86.6","5.4 %","90.5","1.2 %","81.6","","","10.4 %","88.1","","","1.0 %","13418"
"Zack Wheeler","Mets","61.8 %","94.6","20.2 %","87.9","","","13.5 %","78.8","4.6 %","88.1","","","","","0.3 %","10310"
"Chris Hatcher","- - -","51.0 %","94.6","25.8 %","86.5","1.3 %","92.2","1.1 %","80.6","20.8 %","86.9","","","","","0.8 %","3299"
"Roberto Osuna","Blue Jays","48.0 %","94.6","22.4 %","86.1","25.5 %","90.5","","","4.2 %","83.6","","","","","","13764"
"Josh Smoker","Mets","56.7 %","94.6","27.1 %","80.6","","","","","","","16.3 %","84.1","","","2.7 %","10285"
"Fernando Rodney","Diamondbacks","59.8 %","94.6","1.6 %","85.0","","","","","38.6 %","83.7","","","","","0.9 %","494"
"Tyler Glasnow","Pirates","65.2 %","94.6","","","","","22.7 %","80.0","12.1 %","88.5","","","","","0.7 %","14374"
"Jeremy Jeffress","- - -","66.4 %","94.5","","","","","18.9 %","80.2","14.7 %","89.5","","","","","1.4 %","9490"
"Mike Minor","Royals","46.1 %","94.4","35.7 %","88.5","","","7.8 %","82.5","10.3 %","86.7","","","","","0.8 %","10021"
"Adam Morgan","Phillies","33.1 %","94.4","32.1 %","82.7","","","8.7 %","77.1","26.1 %","82.6","","","","","0.6 %","12580"
"Dominic Leone","Blue Jays","54.2 %","94.4","9.8 %","83.5","36.0 %","88.6","","","","","","","","","0.7 %","13763"
"Jeff Hoffman","Rockies","67.0 %","94.4","8.8 %","82.8","","","18.3 %","76.9","6.0 %","86.8","","","","","0.3 %","17432"
"Nick Pivetta","Phillies","65.9 %","94.4","15.0 %","83.4","","","14.8 %","79.3","4.4 %","86.7","","","","","","15454"
"Adam Ottavino","Rockies","50.2 %","94.4","46.5 %","81.6","3.3 %","87.1","","","","","","","","","0.5 %","1247"
"Edubray Ramos","Phillies","42.2 %","94.4","57.3 %","82.7","","","","","0.5 %","84.8","","","","","0.9 %","16086"
"Chris Sale","Red Sox","49.2 %","94.4","32.9 %","79.7","","","","","17.9 %","86.6","","","","","","10603"
"Antonio Senzatela","Rockies","71.8 %","94.3","21.2 %","82.8","","","3.3 %","77.7","3.6 %","85.2","","","","","0.2 %","15488"
"Wade Davis","Cubs","48.0 %","94.3","","","31.1 %","90.4","20.8 %","83.2","0.1 %","90.0","","","","","0.4 %","7441"
"Robbie Ray","Diamondbacks","59.3 %","94.3","18.0 %","85.1","","","21.9 %","82.0","0.8 %","85.0","","","","","0.4 %","11486"
"David Phelps","- - -","52.1 %","94.3","","","28.3 %","90.8","19.3 %","81.6","0.3 %","86.3","","","","","1.2 %","6316"
"Blake Snell","Rays","55.1 %","94.3","13.5 %","86.0","","","10.3 %","79.3","21.1 %","86.4","","","","","0.2 %","13543"
"Jeff Samardzija","Giants","46.8 %","94.3","21.6 %","88.4","9.3 %","92.8","14.6 %","80.8","","","7.7 %","85.7","","","0.1 %","3254"
"David Price","Red Sox","58.7 %","94.3","","","20.7 %","88.6","6.4 %","79.5","14.3 %","85.9","","","","","","3184"
"Cody Allen","Indians","55.5 %","94.3","","","","","44.6 %","84.2","","","","","","","","12183"
"Carlos Carrasco","Indians","48.4 %","94.3","18.9 %","85.5","","","16.2 %","83.1","16.5 %","88.6","","","","","0.2 %","6632"
"Luis Perdomo","Padres","62.7 %","94.2","31.5 %","84.5","","","","","5.8 %","87.5","","","","","0.4 %","14682"
"Randall Delgado","Diamondbacks","56.8 %","94.2","14.2 %","85.7","","","1.5 %","79.3","27.5 %","86.9","","","","","","5985"
"Lance McCullers","Astros","40.4 %","94.2","0.3 %","88.2","","","47.4 %","85.6","11.9 %","88.8","","","","","0.1 %","14120"
"Yu Darvish","- - -","51.8 %","94.2","24.6 %","82.6","15.4 %","88.8","6.1 %","73.3","2.1 %","88.1","0.1 %","90.0","","","0.1 %","13074"
"John Brebbia","Cardinals","56.8 %","94.2","40.9 %","82.7","","","","","2.3 %","87.9","","","","","1.7 %","12777"
"Jarlin Garcia","Marlins","49.8 %","94.2","31.6 %","85.0","","","","","18.6 %","87.1","","","","","","18282"
"Bud Norris","Angels","44.7 %","94.1","20.7 %","85.0","34.4 %","89.8","","","0.2 %","87.5","","","","","1.2 %","9492"
"Max Scherzer","Nationals","48.7 %","94.1","28.9 %","86.2","","","8.3 %","77.4","14.1 %","84.7","","","","","0.2 %","3137"
"Chris Devenski","Astros","39.8 %","94.1","22.4 %","82.9","","","","","37.9 %","83.0","","","","","0.9 %","12763"
"Kirby Yates","- - -","62.5 %","94.0","24.6 %","86.0","","","","","13.0 %","87.1","","","","","0.8 %","9073"
"Andrew Miller","Indians","42.3 %","94.0","57.8 %","83.7","","","","","","","","","","","","6785"
"Carlos Torres","Brewers","18.1 %","94.0","1.3 %","82.8","68.4 %","92.6","12.2 %","80.2","","","","","","","0.3 %","7624"
"Trevor Bauer","Indians","49.2 %","94.0","4.3 %","84.1","9.1 %","87.4","29.8 %","78.5","6.3 %","87.2","1.3 %","85.6","","","","12703"
"Vince Velasquez","Phillies","68.0 %","93.9","7.1 %","84.6","","","14.7 %","80.8","10.2 %","87.7","","","","","0.1 %","11189"
"Jimmy Nelson","Brewers","61.3 %","93.9","16.1 %","88.4","","","20.1 %","84.5","2.6 %","87.4","","","","","0.2 %","10547"
"Santiago Casilla","Athletics","62.9 %","93.9","11.0 %","89.4","","","21.4 %","80.6","4.7 %","87.6","","","","","0.2 %","2873"
"Michael Pineda","Yankees","48.8 %","93.9","37.6 %","85.1","","","","","13.6 %","89.0","","","","","0.1 %","5372"
"Matt Harvey","Mets","59.1 %","93.8","22.4 %","88.6","","","7.2 %","80.9","11.3 %","85.9","","","","","0.4 %","11713"
"Jordan Lyles","- - -","55.5 %","93.8","19.0 %","89.9","","","20.2 %","83.7","5.3 %","85.6","","","","","0.1 %","7593"
"Jesse Hahn","Athletics","61.9 %","93.8","9.9 %","84.4","","","17.6 %","76.0","10.6 %","85.3","","","","","0.1 %","13287"
"Dustin McGowan","Marlins","59.4 %","93.8","33.6 %","86.6","","","","","7.0 %","87.6","","","","","1.7 %","8600"
"Taijuan Walker","Diamondbacks","59.1 %","93.8","14.7 %","86.5","","","12.5 %","75.7","13.7 %","88.3","","","","","0.7 %","11836"
"Joe Biagini","Blue Jays","53.2 %","93.8","10.9 %","90.3","","","21.6 %","78.8","14.4 %","86.3","","","","","0.1 %","13194"
"David Hernandez","- - -","51.9 %","93.7","24.9 %","87.6","","","23.2 %","81.3","","","","","","","","4259"
"Jorge de la Rosa","Diamondbacks","47.9 %","93.7","","","12.9 %","86.8","5.3 %","75.8","33.9 %","84.6","","","","","1.9 %","2047"
"Andrew Chafin","Diamondbacks","61.1 %","93.7","38.5 %","82.7","","","","","0.5 %","86.0","","","","","0.9 %","12988"
"Robert Stephenson","Reds","54.3 %","93.7","19.9 %","85.4","","","9.8 %","79.4","16.0 %","84.8","","","","","1.0 %","13594"
"Sean Newcomb","Braves","63.4 %","93.7","4.3 %","81.0","","","21.7 %","78.2","10.6 %","85.8","","","","","1.3 %","16943"
"Rafael Montero","Mets","55.3 %","93.7","24.9 %","83.7","","","","","19.7 %","88.1","","","","","0.7 %","12760"
"Emilio Pagan","Mariners","68.4 %","93.6","29.2 %","84.1","","","","","2.4 %","84.6","","","","","0.1 %","14771"
"Tony Watson","- - -","65.2 %","93.6","15.4 %","85.0","","","","","19.5 %","86.3","","","","","2.6 %","3132"
"Blake Parker","Angels","60.3 %","93.5","","","","","7.6 %","79.5","","","32.2 %","82.3","","","0.1 %","5224"
"Brad Hand","Padres","51.3 %","93.5","44.7 %","82.0","","","3.9 %","77.2","0.1 %","87.0","","","","","0.3 %","9111"
"Homer Bailey","Reds","56.9 %","93.5","19.7 %","87.5","","","4.4 %","78.1","","","19.0 %","85.8","","","0.3 %","8362"
"Edwin Jackson","- - -","49.0 %","93.5","24.0 %","86.8","12.7 %","91.4","8.0 %","78.9","6.4 %","87.4","","","","","0.6 %","1841"
"Jared Hughes","Brewers","77.5 %","93.5","21.0 %","86.2","","","","","1.5 %","88.4","","","","","2.0 %","9325"
"Greg Holland","Rockies","44.3 %","93.5","49.2 %","85.9","","","6.3 %","76.3","","","0.2 %","87.0","","","0.5 %","7196"
"Jose Berrios","Twins","61.4 %","93.5","","","","","30.0 %","81.2","8.6 %","83.5","","","","","0.0 %","14168"
"Jim Johnson","Braves","67.7 %","93.4","","","","","27.2 %","79.4","5.1 %","88.2","","","","","1.2 %","3656"
"Brandon Kintzler","- - -","81.7 %","93.4","14.0 %","87.0","","","","","4.3 %","88.7","","","","","0.7 %","9939"
"Andrew Cashner","Rangers","65.3 %","93.4","12.2 %","88.5","","","8.4 %","81.8","14.2 %","85.1","","","","","","8782"
"Kendall Graveman","Athletics","68.8 %","93.4","5.6 %","78.9","15.2 %","90.0","","","10.5 %","86.0","","","","","0.2 %","15514"
"Eddie Butler","Cubs","66.1 %","93.4","8.4 %","91.2","","","15.6 %","81.1","9.9 %","87.5","","","","","0.9 %","13453"
"Marcus Stroman","Blue Jays","62.1 %","93.3","23.5 %","86.7","2.4 %","90.5","6.1 %","82.6","6.0 %","82.6","","","","","0.1 %","13431"
"Matt Albers","Nationals","67.6 %","93.3","27.9 %","86.9","","","0.2 %","79.0","4.4 %","83.6","","","","","0.1 %","4300"
"Kenley Jansen","Dodgers","92.0 %","93.3","8.0 %","83.2","","","","","","","","","","","","3096"
"Eduardo Rodriguez","Red Sox","65.4 %","93.3","11.3 %","84.1","5.4 %","88.4","","","17.9 %","86.2","","","","","0.2 %","13164"
"Taylor Rogers","Twins","62.0 %","93.2","","","","","34.1 %","78.8","3.9 %","88.3","","","","","2.4 %","13449"
"Luke Weaver","Cardinals","60.1 %","93.2","","","2.9 %","87.7","11.5 %","79.6","25.5 %","84.3","","","","","0.4 %","16918"
"Scott Alexander","Royals","93.9 %","93.2","4.5 %","85.7","","","","","1.6 %","86.4","","","","","","10591"
"Daniel Norris","Tigers","54.9 %","93.2","22.7 %","87.4","","","9.7 %","77.5","12.6 %","86.2","","","","","0.7 %","13475"
"Carlos Rodon","White Sox","61.2 %","93.1","26.5 %","85.0","","","","","12.3 %","83.1","","","","","","16137"
"Chase Anderson","Brewers","52.7 %","93.1","","","12.9 %","89.4","18.3 %","78.3","16.2 %","83.7","","","","","0.0 %","6895"
"Brandon McCarthy","Dodgers","44.0 %","93.1","1.2 %","86.2","30.6 %","91.4","21.6 %","80.2","2.6 %","88.7","","","","","","4662"
"Edinson Volquez","Marlins","56.9 %","93.1","","","","","17.6 %","80.9","25.5 %","83.7","","","","","0.6 %","3990"
"Martin Perez","Rangers","58.7 %","93.1","9.6 %","84.4","","","11.2 %","79.3","20.5 %","84.7","","","","","0.2 %","6902"
"Steven Matz","Mets","59.1 %","93.1","4.3 %","85.7","","","23.3 %","78.1","13.4 %","83.6","","","","","0.6 %","13361"
"A.J. Cole","Nationals","54.8 %","93.1","23.3 %","84.9","","","15.5 %","79.4","6.5 %","86.2","","","","","","11467"
"Adam Warren","Yankees","38.9 %","93.0","43.6 %","86.5","","","7.5 %","80.1","10.1 %","85.5","","","","","0.9 %","9029"
"Jharel Cotton","Athletics","47.1 %","93.0","","","22.7 %","88.4","8.7 %","77.3","21.5 %","77.8","","","","","0.1 %","13654"
"Warwick Saupold","Tigers","51.5 %","93.0","","","28.9 %","88.4","12.3 %","81.7","7.3 %","86.4","","","","","1.9 %","13211"
"Chad Bell","Tigers","58.4 %","93.0","18.8 %","85.3","","","11.2 %","80.7","11.6 %","86.5","","","","","1.0 %","10297"
"Sonny Gray","- - -","55.1 %","93.0","16.1 %","85.3","","","13.9 %","81.1","15.0 %","90.1","","","","","0.1 %","12768"
"Tom Koehler","- - -","52.2 %","92.9","20.4 %","85.6","","","21.4 %","78.9","6.1 %","85.4","","","","","0.9 %","6570"
"Ross Stripling","Dodgers","38.1 %","92.9","35.0 %","88.7","","","20.5 %","80.5","6.5 %","84.8","","","","","1.1 %","13273"
"Tony Barnette","Rangers","31.0 %","92.9","","","46.0 %","88.7","18.1 %","78.6","","","4.9 %","87.9","","","1.6 %","3555"
"Joakim Soria","Royals","48.9 %","92.9","6.9 %","80.7","","","11.8 %","70.6","32.4 %","88.1","","","","","0.5 %","6941"
"Joe Musgrove","Astros","48.2 %","92.9","28.1 %","83.2","5.5 %","89.6","8.4 %","81.1","9.8 %","84.2","","","","","0.2 %","12970"
"Seung Hwan Oh","Cardinals","61.8 %","92.9","29.4 %","85.4","","","1.9 %","75.0","","","7.0 %","84.0","","","3.4 %","18719"
"Ervin Santana","Twins","52.5 %","92.9","36.5 %","84.5","","","","","11.0 %","85.9","","","","","0.2 %","3200"
"Francisco Liriano","- - -","50.2 %","92.9","33.0 %","85.4","","","","","16.8 %","85.4","","","","","0.5 %","3201"
"Danny Duffy","Royals","47.4 %","92.8","29.4 %","83.0","","","0.5 %","72.7","22.7 %","83.6","","","","","","3542"
"Ryan Buchter","- - -","78.2 %","92.8","5.7 %","85.5","9.5 %","89.5","6.7 %","78.1","","","","","","","0.4 %","9456"
"Alex Wilson","Tigers","58.8 %","92.8","6.5 %","81.8","34.4 %","88.1","","","0.3 %","88.3","","","","","1.6 %","9239"
"Ivan Nova","Pirates","68.1 %","92.8","","","","","22.2 %","80.5","9.7 %","86.3","","","","","0.4 %","1994"
"Clayton Kershaw","Dodgers","47.1 %","92.7","34.9 %","88.5","","","16.8 %","73.3","1.2 %","85.9","","","","","","2036"
"Robert Gsellman","Mets","63.2 %","92.7","15.5 %","88.7","","","11.6 %","80.2","9.7 %","85.2","","","","","0.6 %","13696"
"Asher Wojciechowski","Reds","61.8 %","92.7","27.2 %","81.0","","","","","11.0 %","85.0","","","","","0.5 %","10836"
"Junichi Tazawa","Marlins","56.7 %","92.7","6.9 %","78.9","","","10.8 %","75.2","","","25.7 %","87.2","","","1.7 %","4079"
"Zach Eflin","Phillies","68.4 %","92.7","13.0 %","85.6","","","11.4 %","77.4","7.2 %","86.0","","","","","","13774"
"Corey Kluber","Indians","42.5 %","92.6","","","23.7 %","89.0","27.4 %","84.4","6.5 %","85.8","","","","","0.3 %","2429"
"Dylan Covey","White Sox","60.1 %","92.6","17.1 %","86.3","","","12.0 %","79.0","","","10.8 %","83.8","","","0.4 %","14825"
"Mike Clevinger","Indians","53.4 %","92.5","19.1 %","81.3","","","11.6 %","75.3","16.0 %","87.0","","","","","0.4 %","12808"
"Adalberto Mejia","Twins","56.3 %","92.5","14.3 %","85.4","","","11.6 %","81.6","17.9 %","83.4","","","","","0.5 %","13188"
"Nick Martinez","Rangers","54.9 %","92.5","","","14.5 %","89.4","18.7 %","79.7","12.0 %","85.6","","","","","","12730"
"Patrick Corbin","Diamondbacks","53.3 %","92.4","38.0 %","81.2","","","","","8.7 %","83.6","","","","","0.8 %","9323"
"Parker Bridwell","Angels","43.8 %","92.4","20.5 %","79.6","25.6 %","90.1","","","10.1 %","84.4","","","","","","11502"
"Mike Dunn","Rockies","51.9 %","92.4","41.5 %","86.1","","","6.6 %","74.6","","","","","","","","9948"
"Odrisamer Despaigne","Marlins","53.4 %","92.3","0.9 %","83.1","29.4 %","85.7","3.8 %","76.0","12.4 %","80.0","","","","","0.4 %","16017"
"Addison Reed","- - -","66.7 %","92.3","33.2 %","85.3","","","","","0.2 %","85.0","","","","","0.8 %","10586"
"A.J. Ramos","- - -","37.2 %","92.3","43.1 %","80.1","","","2.2 %","75.1","17.5 %","85.3","","","","","0.4 %","8350"
"Tanner Roark","Nationals","56.8 %","92.2","16.1 %","85.7","","","15.0 %","75.8","12.1 %","83.7","","","","","0.5 %","8753"
"Masahiro Tanaka","Yankees","27.6 %","92.2","30.5 %","84.7","9.5 %","89.7","6.0 %","77.0","","","26.3 %","87.8","","","0.1 %","15764"
"Yovani Gallardo","Mariners","50.2 %","92.2","22.6 %","89.2","","","17.8 %","80.6","9.5 %","86.2","","","","","0.4 %","8173"
