"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Michael Lorenzen","Reds","48.0 %","96.2","11.3 %","85.8","33.5 %","92.9","5.4 %","79.8","1.9 %","88.0","","","","","","14843"
"Yordano Ventura","Royals","56.7 %","96.1","","","0.0 %","87.0","25.3 %","83.1","18.0 %","86.1","","","","","0.0 %","11855"
"Luis Severino","Yankees","55.9 %","96.1","34.2 %","88.3","","","","","9.9 %","88.9","","","","","0.4 %","15890"
"Neftali Feliz","Pirates","70.1 %","96.1","25.5 %","84.4","","","","","4.4 %","88.6","","","","","0.4 %","18"
"Blake Wood","Reds","55.2 %","96.0","36.5 %","89.9","","","","","8.3 %","86.6","","","","","1.4 %","1345"
"Hector Rondon","Cubs","64.4 %","96.0","33.7 %","85.7","","","","","1.9 %","89.7","","","","","0.3 %","2391"
"Felipe Rivero","- - -","61.9 %","95.8","15.8 %","82.8","","","1.1 %","80.0","21.2 %","87.7","","","","","0.9 %","12076"
"Roberto Osuna","Blue Jays","66.6 %","95.8","22.1 %","86.2","4.1 %","91.0","","","7.3 %","83.0","","","","","1.4 %","13764"
"Daniel Hudson","Diamondbacks","62.8 %","95.7","19.0 %","85.8","","","","","18.2 %","85.3","","","","","0.8 %","7146"
"John Axford","Athletics","74.4 %","95.7","14.2 %","91.5","","","9.6 %","78.8","1.9 %","87.0","","","","","0.2 %","9059"
"Carlos Martinez","Cardinals","58.2 %","95.6","19.3 %","85.5","","","4.2 %","81.4","18.3 %","86.9","","","","","0.4 %","11682"
"Kyle Barraclough","Marlins","54.2 %","95.6","41.9 %","82.2","","","","","3.9 %","89.6","","","","","0.3 %","13713"
"Blake Treinen","Nationals","68.8 %","95.4","30.4 %","86.8","","","","","0.8 %","88.4","","","","","2.4 %","12572"
"Brandon Maurer","Padres","55.3 %","95.3","31.9 %","85.1","","","","","12.8 %","85.0","","","","","1.6 %","4878"
"Sam Dyson","Rangers","70.1 %","95.3","11.3 %","84.0","","","","","18.6 %","88.9","","","","","","11710"
"Hansel Robles","Mets","64.0 %","95.2","24.0 %","84.5","","","","","12.1 %","88.5","","","","","1.2 %","11801"
"Mike Foltynewicz","Braves","62.6 %","95.2","19.2 %","85.5","","","10.3 %","78.4","7.9 %","85.2","","","","","0.4 %","10811"
"Gerrit Cole","Pirates","66.7 %","95.2","17.9 %","87.7","","","10.0 %","81.1","5.5 %","88.1","","","","","0.6 %","13125"
"Jose Fernandez","Marlins","53.7 %","95.2","26.7 %","84.1","","","7.1 %","82.7","12.6 %","88.3","","","","","0.8 %","11530"
"Jon Gray","Rockies","55.0 %","95.1","26.9 %","88.6","","","11.0 %","77.9","7.1 %","85.2","","","","","0.1 %","14916"
"Jake Diekman","Rangers","73.6 %","95.1","25.5 %","85.0","","","","","0.9 %","87.1","","","","","0.4 %","5003"
"Jeremy Jeffress","- - -","76.1 %","95.1","","","","","20.5 %","80.6","3.4 %","89.7","","","","","1.4 %","9490"
"Ryan Pressly","Twins","54.5 %","95.1","24.3 %","89.2","","","21.2 %","83.5","","","","","","","0.6 %","7005"
"Justin Wilson","Tigers","65.4 %","95.1","","","29.2 %","90.3","5.1 %","82.0","0.4 %","89.3","","","","","0.8 %","4301"
"Michael Feliz","Astros","63.3 %","94.9","31.4 %","82.3","","","","","5.3 %","84.3","","","","","","11903"
"Stephen Strasburg","Nationals","57.2 %","94.9","17.1 %","89.2","","","12.6 %","81.5","13.1 %","88.8","","","","","0.2 %","10131"
"Jake Barrett","Diamondbacks","62.8 %","94.9","30.6 %","87.0","","","","","0.5 %","86.4","6.1 %","85.2","","","1.5 %","13322"
"Jose Urena","Marlins","65.7 %","94.9","15.7 %","85.3","","","1.3 %","83.3","17.3 %","89.1","","","","","1.5 %","11589"
"Dustin McGowan","Marlins","63.9 %","94.8","30.5 %","87.0","","","","","5.6 %","88.2","","","","","2.6 %","8600"
"Wily Peralta","Brewers","62.7 %","94.8","30.8 %","84.7","","","1.6 %","81.9","4.9 %","85.1","","","","","0.1 %","7738"
"Danny Duffy","Royals","59.3 %","94.8","23.5 %","83.5","","","","","17.1 %","85.2","","","","","","3542"
"Michael Fulmer","Tigers","56.9 %","94.8","25.9 %","87.9","","","","","17.3 %","86.1","","","","","0.2 %","13218"
"Aaron Sanchez","Blue Jays","74.3 %","94.7","","","0.4 %","93.3","16.2 %","78.1","9.1 %","88.3","","","","","","11490"
"Jhan Marinez","- - -","75.4 %","94.7","24.0 %","85.3","","","","","0.6 %","91.5","","","","","1.3 %","5830"
"Alex Colome","Rays","52.1 %","94.7","47.2 %","88.7","","","0.5 %","82.8","0.2 %","89.5","","","","","0.5 %","6661"
"Danny Salazar","Indians","68.3 %","94.7","7.9 %","85.0","","","5.1 %","80.7","18.8 %","85.9","","","","","0.5 %","5867"
"Kevin Gausman","Orioles","66.3 %","94.7","13.3 %","79.7","","","","","3.6 %","84.0","16.7 %","84.7","","","0.0 %","14107"
"Luis Cessa","Yankees","50.1 %","94.6","23.7 %","85.2","","","15.8 %","80.4","10.5 %","84.9","","","","","","13345"
"Rubby de la Rosa","Diamondbacks","62.4 %","94.6","29.2 %","84.2","","","","","8.4 %","87.3","","","","","0.5 %","3862"
"Andrew Miller","- - -","39.5 %","94.5","60.6 %","83.7","","","","","","","","","","","","6785"
"Matt Harvey","Mets","59.9 %","94.5","18.6 %","88.7","","","10.1 %","82.1","11.4 %","86.8","","","","","0.3 %","11713"
"Brad Brach","Orioles","60.0 %","94.5","18.2 %","86.3","","","","","21.8 %","86.2","","","","","0.3 %","6627"
"Fernando Rodney","- - -","57.6 %","94.4","","","","","","","42.4 %","82.8","","","","","1.0 %","494"
"Jonathan Broxton","Cardinals","58.2 %","94.4","31.0 %","87.7","","","1.4 %","77.9","9.4 %","88.1","","","","","1.9 %","4759"
"Joe Biagini","Blue Jays","58.9 %","94.3","17.8 %","89.3","","","17.3 %","80.1","6.0 %","86.0","","","","","0.4 %","13194"
"Mychal Givens","Orioles","63.6 %","94.3","30.1 %","85.4","","","","","6.3 %","85.3","","","","","0.7 %","10430"
"Chris Archer","Rays","48.5 %","94.3","40.2 %","88.3","","","","","11.3 %","86.8","","","","","0.1 %","6345"
"Max Scherzer","Nationals","55.4 %","94.3","22.2 %","86.2","2.3 %","88.9","8.1 %","77.9","12.1 %","85.3","","","","","0.2 %","3137"
"Jeff Samardzija","Giants","47.4 %","94.3","15.1 %","85.9","20.8 %","92.3","7.2 %","80.0","","","9.5 %","85.8","","","0.6 %","3254"
"Jameson Taillon","Pirates","63.2 %","94.3","","","","","26.3 %","80.1","10.6 %","87.0","","","","","0.3 %","11674"
"Ryan Madson","Athletics","64.7 %","94.2","","","8.2 %","90.7","4.8 %","81.2","22.3 %","83.9","","","","","1.0 %","1852"
"Cody Allen","Indians","63.4 %","94.2","","","","","36.6 %","84.0","","","","","","","0.5 %","12183"
"Zach McAllister","Indians","79.1 %","94.2","5.4 %","88.0","","","14.6 %","80.8","","","0.9 %","88.0","","","0.9 %","2895"
"Tony Cingrani","Reds","87.3 %","94.2","9.1 %","80.8","","","","","3.7 %","89.4","","","","","0.4 %","12555"
"Justin Grimm","Cubs","48.7 %","94.2","","","","","51.3 %","82.4","","","","","","","1.0 %","11720"
"Hector Neris","Phillies","45.4 %","94.1","2.6 %","87.4","","","","","","","52.0 %","87.1","","","0.8 %","11804"
"Liam Hendriks","Athletics","75.8 %","94.1","18.1 %","88.1","","","4.9 %","77.8","1.1 %","87.0","","","","","0.8 %","3548"
"Tyler Thornburg","Brewers","66.4 %","94.1","","","","","24.6 %","78.7","9.0 %","85.7","","","","","0.4 %","10688"
"Robbie Ray","Diamondbacks","71.1 %","94.1","18.0 %","85.1","","","5.3 %","81.6","5.7 %","86.8","","","","","0.4 %","11486"
"Michael Pineda","Yankees","51.3 %","94.1","41.3 %","85.6","","","","","7.4 %","88.3","","","","","0.1 %","5372"
"Cody Anderson","Indians","56.2 %","94.0","","","5.9 %","90.9","11.4 %","81.4","26.6 %","85.8","","","","","1.0 %","12799"
"David Hernandez","Phillies","64.3 %","94.0","","","","","34.6 %","80.9","1.1 %","87.0","","","","","1.4 %","4259"
"Shane Greene","Tigers","40.8 %","94.0","19.2 %","82.7","37.3 %","89.2","1.9 %","80.8","0.7 %","86.0","","","","","0.5 %","10756"
"Taijuan Walker","Mariners","61.1 %","93.9","","","8.1 %","87.9","11.3 %","76.0","19.5 %","88.3","","","","","0.4 %","11836"
"Ross Ohlendorf","Reds","57.2 %","93.9","20.9 %","81.9","","","","","21.9 %","86.3","","","","","0.2 %","8268"
"Michael Tonkin","Twins","70.8 %","93.9","29.1 %","82.9","","","","","0.2 %","88.5","","","","","0.2 %","10315"
"Ian Krol","Braves","64.8 %","93.9","","","29.4 %","86.8","3.2 %","78.2","2.6 %","86.1","","","","","1.1 %","10066"
"Heath Hembree","Red Sox","60.6 %","93.9","27.6 %","88.1","","","11.1 %","79.4","0.7 %","87.0","","","","","0.5 %","11632"
"Lance McCullers","Astros","43.0 %","93.9","","","","","49.5 %","85.2","7.6 %","88.1","","","","","0.3 %","14120"
"Carlos Carrasco","Indians","52.7 %","93.8","16.0 %","87.5","","","14.9 %","83.5","16.5 %","89.2","","","","","0.3 %","6632"
"Dylan Bundy","Orioles","61.5 %","93.8","","","","","18.5 %","76.3","20.1 %","84.8","","","","","0.8 %","12917"
"Vince Velasquez","Phillies","64.5 %","93.7","12.9 %","83.7","","","9.9 %","79.2","12.8 %","87.4","","","","","0.2 %","11189"
"Jake Arrieta","Cubs","65.5 %","93.7","","","17.8 %","89.2","12.2 %","80.6","4.6 %","88.5","","","","","0.1 %","4153"
"Steven Matz","Mets","61.5 %","93.6","10.4 %","87.3","","","16.4 %","78.2","11.8 %","83.2","","","","","0.4 %","13361"
"Luis Perdomo","Padres","66.8 %","93.6","23.5 %","83.0","","","","","9.7 %","87.9","","","","","1.1 %","14682"
"Juan Nicasio","Pirates","69.1 %","93.6","27.7 %","86.4","","","","","3.2 %","86.5","","","","","0.6 %","7731"
"Santiago Casilla","Giants","53.3 %","93.6","18.5 %","88.9","","","25.9 %","80.5","2.3 %","86.7","","","","","0.7 %","2873"
"Mike Montgomery","- - -","53.8 %","93.6","","","12.0 %","89.3","24.3 %","77.1","9.9 %","83.8","","","","","0.7 %","4869"
"Robbie Ross Jr.","Red Sox","52.4 %","93.6","27.5 %","87.3","","","20.1 %","79.1","","","","","","","","6819"
"Kenley Jansen","Dodgers","93.8 %","93.6","6.2 %","83.1","","","","","","","","","","","0.6 %","3096"
"Andrew Cashner","- - -","65.2 %","93.5","20.8 %","87.0","","","7.5 %","81.4","6.5 %","85.1","","","","","0.6 %","8782"
"Blake Snell","Rays","57.2 %","93.5","12.2 %","82.7","","","12.7 %","75.9","17.8 %","84.9","","","","","","13543"
"David Phelps","Marlins","64.2 %","93.5","","","22.3 %","90.1","11.4 %","79.8","2.1 %","85.4","","","","","1.1 %","6316"
"Bud Norris","- - -","56.0 %","93.5","29.2 %","84.7","11.8 %","87.7","","","3.1 %","85.2","","","","","0.8 %","9492"
"Justin Verlander","Tigers","57.3 %","93.5","18.3 %","88.0","","","15.9 %","78.7","8.5 %","85.3","","","","","0.1 %","8700"
"Eduardo Rodriguez","Red Sox","66.3 %","93.5","15.6 %","85.7","1.9 %","90.4","","","16.2 %","87.3","","","","","0.1 %","13164"
"Jacob deGrom","Mets","59.5 %","93.4","18.5 %","88.6","","","10.8 %","80.4","11.1 %","85.7","","","","","","10954"
"Carlos Rodon","White Sox","63.7 %","93.4","25.8 %","86.7","","","","","10.5 %","83.6","","","","","0.2 %","16137"
"Mike Clevinger","Indians","58.6 %","93.4","18.2 %","83.7","","","5.9 %","74.4","17.3 %","86.9","","","","","","12808"
"Jim Johnson","Braves","68.9 %","93.3","","","","","25.0 %","79.1","6.2 %","87.9","","","","","","3656"
"Jose Berrios","Twins","64.0 %","93.3","","","","","21.6 %","81.0","14.4 %","84.6","","","","","","14168"
"Yu Darvish","Rangers","59.2 %","93.3","18.6 %","81.8","9.1 %","88.7","10.2 %","73.3","2.5 %","86.7","0.4 %","90.0","","","0.1 %","13074"
"Kevin Siegrist","Cardinals","67.7 %","93.3","","","","","10.8 %","73.4","21.6 %","85.0","","","","","0.8 %","8180"
"Chad Kuhl","Pirates","61.4 %","93.2","29.1 %","86.7","","","","","9.5 %","85.3","","","","","0.1 %","14975"
"Edinson Volquez","Royals","52.9 %","93.2","","","","","24.8 %","80.0","22.3 %","83.5","","","","","0.2 %","3990"
"Jesse Chavez","- - -","33.8 %","93.2","0.7 %","84.1","41.2 %","91.5","14.8 %","80.0","9.5 %","86.5","","","","","0.9 %","5448"
"Trevor Bauer","Indians","51.2 %","93.2","","","17.3 %","88.9","19.4 %","77.0","12.1 %","86.4","0.1 %","87.0","","","0.2 %","12703"
"Tony Watson","Pirates","66.5 %","93.2","8.8 %","85.7","","","","","24.7 %","85.3","","","","","0.3 %","3132"
"Michael Wacha","Cardinals","53.1 %","93.2","","","16.2 %","90.2","8.6 %","74.3","22.1 %","84.9","","","","","0.9 %","14078"
"Junior Guerra","Brewers","61.6 %","93.1","14.9 %","82.0","","","","","","","23.4 %","84.8","","","0.1 %","5702"
"Jimmy Nelson","Brewers","71.0 %","93.1","15.5 %","87.1","","","12.4 %","83.0","1.1 %","86.3","","","","","0.3 %","10547"
"Daniel Norris","Tigers","61.9 %","93.1","15.9 %","87.5","","","8.3 %","76.3","14.0 %","85.7","","","","","","13475"
"Mike Wright","Orioles","70.1 %","93.1","19.5 %","82.4","","","2.4 %","77.7","8.0 %","80.6","","","","","","12586"
"Clayton Kershaw","Dodgers","50.7 %","93.1","33.3 %","87.9","","","15.6 %","73.2","0.4 %","87.4","","","","","0.2 %","2036"
"Raisel Iglesias","Reds","55.5 %","93.0","33.4 %","83.1","","","","","11.1 %","86.6","","","","","0.4 %","17130"
"Shelby Miller","Diamondbacks","62.6 %","93.0","","","20.2 %","88.4","11.7 %","79.1","5.6 %","86.1","","","","","0.8 %","10197"
"Jared Hughes","Pirates","81.6 %","93.0","12.4 %","85.7","","","","","5.9 %","87.8","","","","","1.7 %","9325"
"Nathan Karns","Mariners","52.7 %","93.0","","","","","36.4 %","81.4","10.9 %","86.3","","","","","0.2 %","12638"
"Eddie Butler","Rockies","60.7 %","92.9","26.1 %","87.0","","","7.6 %","79.6","5.5 %","87.4","","","","","0.4 %","13453"
"Anthony DeSclafani","Reds","56.2 %","92.9","27.6 %","87.5","","","12.9 %","81.4","3.3 %","87.6","","","","","0.6 %","13050"
"Jordan Lyles","Rockies","59.4 %","92.9","23.1 %","88.8","","","9.2 %","78.0","8.3 %","83.6","","","","","0.8 %","7593"
"David Price","Red Sox","48.8 %","92.9","","","19.7 %","88.3","8.6 %","79.0","22.9 %","84.5","","","","","0.1 %","3184"
"Derek Law","Giants","52.3 %","92.9","23.5 %","83.8","","","19.4 %","76.8","4.9 %","83.0","","","","","","13133"
"Brad Hand","Padres","61.2 %","92.8","30.3 %","82.9","","","7.5 %","78.7","1.1 %","86.9","","","","","0.9 %","9111"
"Adam Warren","- - -","43.6 %","92.8","31.0 %","87.2","","","10.8 %","79.6","14.6 %","84.6","","","","","1.9 %","9029"
"Seung Hwan Oh","Cardinals","60.6 %","92.8","31.3 %","85.8","","","0.8 %","73.3","","","7.4 %","83.1","","","0.8 %","18719"
"Matt Wisler","Braves","59.2 %","92.8","29.2 %","82.0","","","5.7 %","76.8","5.9 %","87.2","","","","","0.4 %","12804"
"Mike Pelfrey","Tigers","69.7 %","92.8","9.5 %","83.9","","","4.8 %","73.0","","","16.0 %","81.2","","","0.1 %","5203"
"Matt Moore","- - -","60.5 %","92.8","","","4.3 %","90.4","22.2 %","81.4","13.0 %","84.4","","","","","0.2 %","1890"
"Chris Sale","White Sox","59.2 %","92.8","25.0 %","78.6","","","0.1 %","75.0","15.8 %","85.8","","","","","0.2 %","10603"
"Francisco Liriano","- - -","51.0 %","92.8","29.7 %","85.4","","","","","19.3 %","85.3","","","","","0.0 %","3201"
"Kendall Graveman","Athletics","61.9 %","92.7","7.3 %","80.1","22.4 %","88.7","","","8.3 %","85.3","","","","","0.3 %","15514"
"Joakim Soria","Royals","61.9 %","92.7","7.9 %","80.6","","","11.6 %","71.4","18.6 %","86.6","","","","","","6941"
"Sonny Gray","Athletics","61.5 %","92.7","12.0 %","85.0","2.5 %","90.2","15.8 %","80.9","8.3 %","87.9","","","","","","12768"
"Martin Perez","Rangers","61.7 %","92.7","10.6 %","85.0","","","10.9 %","80.1","16.9 %","84.3","","","","","","6902"
"Ervin Santana","Twins","52.8 %","92.7","36.8 %","83.4","","","","","10.5 %","84.9","","","","","0.1 %","3200"
"Joe Ross","Nationals","52.2 %","92.7","39.0 %","83.7","","","","","8.8 %","87.2","","","","","0.5 %","12972"
"Brandon Kintzler","Twins","88.0 %","92.7","7.3 %","85.4","","","","","4.7 %","87.5","","","","","0.4 %","9939"
"Julio Urias","Dodgers","55.7 %","92.6","15.1 %","84.9","","","16.2 %","76.0","13.0 %","80.0","","","","","","14765"
"Cole Hamels","Rangers","43.7 %","92.6","","","23.1 %","89.1","14.6 %","79.3","18.7 %","84.2","","","","","0.1 %","4972"
"Taylor Rogers","Twins","55.3 %","92.6","","","","","43.0 %","77.8","1.7 %","87.9","","","","","0.9 %","13449"
"Ivan Nova","- - -","64.8 %","92.6","","","2.9 %","86.7","28.3 %","80.1","4.0 %","86.4","","","","","0.1 %","1994"
"Brian Flynn","Royals","66.9 %","92.6","27.7 %","85.5","","","1.7 %","75.6","3.7 %","83.8","","","","","","12027"
"Ariel Miranda","- - -","58.2 %","92.6","4.0 %","81.1","","","","","22.3 %","83.6","15.6 %","80.8","","","","17526"
"Corey Kluber","Indians","51.5 %","92.5","","","24.1 %","89.2","19.8 %","83.5","4.7 %","85.3","","","","","0.1 %","2429"
"Marcus Stroman","Blue Jays","57.5 %","92.4","14.7 %","86.6","12.4 %","89.8","10.1 %","81.3","5.3 %","84.7","","","","","","13431"
"Addison Reed","Mets","72.2 %","92.4","27.7 %","86.0","","","","","0.2 %","85.5","","","","","1.3 %","10586"
"Archie Bradley","Diamondbacks","69.3 %","92.4","","","","","23.6 %","80.0","7.1 %","85.7","","","","","1.3 %","12918"
"Shawn Kelley","Nationals","56.3 %","92.4","43.7 %","83.1","","","","","","","","","","","0.9 %","7773"
"Alfredo Simon","Reds","48.6 %","92.4","","","18.3 %","88.6","11.1 %","76.7","","","22.0 %","84.3","","","0.5 %","2155"
"Will Harris","Astros","66.4 %","92.4","","","","","33.6 %","81.9","","","","","","","0.2 %","3192"
"Chris Devenski","Astros","45.8 %","92.4","10.2 %","82.7","","","12.7 %","76.7","31.4 %","81.0","","","","","0.1 %","12763"
"Jason Grilli","- - -","61.9 %","92.4","35.7 %","80.5","","","","","2.4 %","84.3","","","","","0.4 %","521"
"Zach Eflin","Phillies","63.4 %","92.3","25.3 %","83.8","","","4.5 %","76.6","6.9 %","86.0","","","","","0.3 %","13774"
"Sean Manaea","Athletics","58.1 %","92.3","13.8 %","80.2","","","","","28.0 %","84.7","","","","","0.1 %","15873"
"Jarred Cosart","- - -","70.6 %","92.3","","","","","23.6 %","77.4","5.8 %","81.2","","","","","0.7 %","10304"
"A.J. Schugel","Pirates","60.8 %","92.3","","","","","4.9 %","78.4","34.3 %","82.6","","","","","","11432"
"Ryan Buchter","Padres","84.2 %","92.3","8.3 %","84.2","7.5 %","89.6","","","","","","","","","1.2 %","9456"
"Tony Barnette","Rangers","33.9 %","92.2","4.6 %","83.3","40.3 %","88.0","11.6 %","77.6","","","9.7 %","87.8","","","0.3 %","3555"
"Matt Garza","Brewers","68.9 %","92.2","17.9 %","82.9","","","9.1 %","75.1","4.0 %","85.1","","","","","0.5 %","3340"
"Nick Wittgren","Marlins","75.5 %","92.2","","","","","11.2 %","81.1","13.3 %","85.3","","","","","1.0 %","15594"
"Ian Kennedy","Royals","66.2 %","92.2","","","8.3 %","86.0","13.8 %","77.3","11.6 %","83.9","","","","","0.1 %","6986"
"Seth Lugo","Mets","57.3 %","92.2","18.5 %","86.5","","","16.6 %","78.1","7.7 %","85.4","","","","","1.4 %","12447"
"Tyler Chatwood","Rockies","70.7 %","92.2","","","22.1 %","87.1","4.8 %","76.6","2.4 %","83.7","","","","","0.2 %","4338"
"Jon Lester","Cubs","58.6 %","92.1","","","23.2 %","88.8","12.6 %","74.6","5.7 %","85.0","","","","","0.1 %","4930"
"Clay Buchholz","Red Sox","40.7 %","92.1","","","22.5 %","88.7","18.7 %","78.0","16.9 %","80.8","1.2 %","85.7","","","0.0 %","3543"
"Tanner Roark","Nationals","62.4 %","92.1","15.1 %","85.4","","","12.7 %","77.2","9.8 %","83.8","","","","","0.4 %","8753"
"Carlos Torres","Brewers","16.6 %","92.1","","","69.6 %","91.1","13.8 %","81.3","","","","","","","0.9 %","7624"
"Daniel Mengden","Athletics","55.8 %","92.1","","","17.3 %","86.9","12.0 %","74.9","15.0 %","81.3","","","","","","16980"
"Jason Hammel","Cubs","51.9 %","92.1","35.1 %","84.9","","","10.4 %","76.8","2.6 %","84.6","","","","","","4538"
"Blaine Boyer","Brewers","58.0 %","92.1","31.7 %","86.8","","","10.0 %","74.7","0.3 %","87.0","","","","","1.1 %","2237"
"Jose Quintana","White Sox","66.5 %","92.1","","","0.3 %","91.2","25.0 %","77.7","8.2 %","86.2","","","","","0.1 %","11423"
"Randall Delgado","Diamondbacks","57.9 %","92.0","25.1 %","81.9","","","","","17.0 %","84.7","","","","","1.0 %","5985"
"Trevor Cahill","Cubs","54.7 %","92.0","0.1 %","87.0","","","19.3 %","79.4","26.0 %","83.8","","","","","0.9 %","6249"
"Matt Albers","White Sox","74.4 %","92.0","13.9 %","86.6","","","2.8 %","79.7","8.9 %","82.4","","","","","0.5 %","4300"
"Albert Suarez","Giants","57.6 %","92.0","16.7 %","78.6","","","13.9 %","75.0","11.8 %","83.3","","","","","1.4 %","6175"
"A.J. Ramos","Marlins","38.4 %","91.9","33.1 %","80.1","4.4 %","90.5","6.0 %","75.5","18.1 %","85.3","","","","","1.3 %","8350"
"Colin Rea","- - -","60.2 %","91.9","0.1 %","84.0","17.3 %","87.4","17.3 %","78.1","","","5.2 %","84.5","","","1.0 %","12317"
"Tom Koehler","Marlins","46.7 %","91.9","23.7 %","85.4","","","22.5 %","78.7","7.1 %","84.7","","","","","0.9 %","6570"
"Edwin Jackson","- - -","46.0 %","91.9","28.1 %","85.4","17.3 %","89.5","7.0 %","77.1","1.6 %","86.6","","","","","0.7 %","1841"
"Alex Wilson","Tigers","56.1 %","91.9","7.0 %","82.8","36.2 %","87.2","","","0.6 %","87.6","","","","","1.6 %","9239"
"Jordan Zimmermann","Tigers","52.8 %","91.8","30.9 %","87.1","","","13.3 %","80.1","3.1 %","87.0","","","","","0.1 %","4505"
"Mark Melancon","- - -","10.7 %","91.8","","","63.3 %","91.0","25.8 %","81.1","0.2 %","85.5","","","","","","4264"
"David Robertson","White Sox","68.1 %","91.8","","","","","30.4 %","82.3","1.6 %","86.9","","","","","1.5 %","8241"
"Drew Storen","- - -","46.8 %","91.8","37.0 %","81.3","","","","","16.2 %","84.2","","","","","0.5 %","6983"
"Matt Andriese","Rays","46.0 %","91.8","","","18.5 %","86.1","10.6 %","79.7","25.0 %","85.5","","","","","0.3 %","12022"
"John Gant","Braves","58.7 %","91.8","","","","","18.7 %","75.3","22.6 %","80.3","","","","","1.1 %","13684"
"Paul Clemens","- - -","65.5 %","91.7","","","","","31.0 %","74.2","3.5 %","82.8","","","","","","8037"
"John Lackey","Cubs","58.2 %","91.7","24.3 %","83.2","","","12.2 %","78.1","5.3 %","84.3","","","","","0.2 %","1507"
"Chad Bettis","Rockies","55.8 %","91.7","","","21.0 %","85.9","10.4 %","74.7","12.9 %","85.9","","","","","0.5 %","10587"
"Brandon Finnegan","Reds","65.6 %","91.7","21.1 %","83.7","","","","","13.3 %","84.2","","","","","0.2 %","16208"
"Derek Holland","Rangers","61.4 %","91.7","13.9 %","80.9","","","14.5 %","77.4","10.2 %","82.9","","","","","0.3 %","4141"
"Matt Bowman","Cardinals","63.0 %","91.7","22.5 %","86.6","","","","","14.5 %","81.1","","","","","1.0 %","13528"
"Joe Musgrove","Astros","45.4 %","91.7","34.2 %","81.7","3.7 %","88.1","8.1 %","78.2","8.7 %","82.3","","","","","","12970"
"Patrick Corbin","Diamondbacks","63.5 %","91.7","26.5 %","80.5","","","","","10.0 %","84.7","","","","","0.4 %","9323"
"Chris Tillman","Orioles","56.8 %","91.7","","","15.6 %","85.7","12.4 %","75.3","15.2 %","83.7","","","","","0.2 %","5279"
"J.A. Happ","Blue Jays","73.5 %","91.6","12.6 %","85.2","","","7.4 %","78.5","6.5 %","83.7","","","","","","7410"
"Jake Odorizzi","Rays","60.0 %","91.6","10.6 %","82.8","5.9 %","86.9","3.9 %","71.2","19.6 %","84.7","","","","","0.3 %","6397"
"Chien-Ming Wang","Royals","84.0 %","91.6","10.3 %","84.3","","","1.1 %","77.0","4.7 %","80.2","","","","","","2074"
