"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Darren O'Day","Orioles","32.6 %","62.7 %","45.5 %","65.4 %","84.2 %","76.5 %","43.0 %","65.0 %","10.7 %","3321"
"Dallas Keuchel","Astros","32.6 %","66.1 %","45.0 %","63.6 %","86.0 %","75.8 %","37.0 %","60.5 %","10.9 %","9434"
"J.A. Happ","Blue Jays","32.6 %","68.6 %","47.6 %","72.7 %","85.1 %","80.1 %","41.6 %","62.0 %","9.5 %","7410"
"Junichi Tazawa","Marlins","32.5 %","70.1 %","48.9 %","67.2 %","90.4 %","81.7 %","43.5 %","62.2 %","8.9 %","4079"
"Jacob deGrom","Mets","32.5 %","68.4 %","49.3 %","61.0 %","79.7 %","73.1 %","46.8 %","64.2 %","13.3 %","10954"
"Danny Salazar","Indians","32.5 %","70.0 %","50.3 %","46.1 %","78.4 %","67.5 %","47.5 %","60.1 %","16.4 %","5867"
"Ryan Pressly","Twins","32.5 %","67.1 %","49.3 %","48.3 %","88.6 %","74.9 %","48.5 %","57.9 %","12.4 %","7005"
"Dustin McGowan","Marlins","32.5 %","72.2 %","48.6 %","58.8 %","88.6 %","76.7 %","40.4 %","58.8 %","11.3 %","8600"
"Josh Tomlin","Indians","32.4 %","67.1 %","48.5 %","70.0 %","89.7 %","82.6 %","46.4 %","68.6 %","8.4 %","9388"
"Ervin Santana","Twins","32.4 %","69.4 %","48.2 %","64.5 %","88.0 %","79.0 %","42.7 %","64.1 %","10.1 %","3200"
"Peter Moylan","Royals","32.4 %","62.5 %","45.6 %","57.9 %","87.5 %","75.7 %","43.8 %","62.1 %","11.1 %","4891"
"Randall Delgado","Diamondbacks","32.3 %","68.7 %","48.0 %","58.6 %","85.2 %","75.0 %","43.1 %","68.0 %","12.0 %","5985"
"Clayton Kershaw","Dodgers","32.3 %","70.6 %","51.3 %","51.1 %","82.4 %","72.5 %","49.5 %","69.4 %","14.1 %","2036"
"Carl Edwards Jr.","Cubs","32.2 %","61.8 %","45.0 %","53.1 %","76.7 %","67.1 %","43.1 %","57.3 %","14.8 %","13607"
"Adalberto Mejia","Twins","32.2 %","69.5 %","48.0 %","66.2 %","85.5 %","78.0 %","42.4 %","57.1 %","10.6 %","13188"
"Yusmeiro Petit","Angels","32.1 %","70.3 %","48.1 %","66.1 %","85.1 %","77.8 %","42.0 %","63.8 %","10.7 %","4020"
"Dan Straily","Marlins","32.1 %","70.0 %","49.4 %","59.2 %","84.2 %","75.3 %","45.6 %","61.9 %","12.2 %","9460"
"Casey Lawrence","- - -","32.1 %","67.0 %","46.8 %","59.7 %","86.1 %","75.6 %","42.0 %","62.5 %","11.4 %","11121"
"James Pazos","Mariners","32.1 %","65.3 %","48.0 %","62.6 %","81.1 %","74.7 %","48.0 %","63.8 %","12.2 %","13323"
"Martin Perez","Rangers","32.1 %","64.1 %","44.8 %","74.6 %","90.6 %","83.7 %","39.7 %","59.3 %","7.3 %","6902"
"Dylan Bundy","Orioles","32.1 %","68.7 %","48.8 %","61.1 %","85.2 %","76.6 %","45.7 %","59.6 %","11.4 %","12917"
