"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Carlos Carrasco","Indians","36.1 %","66.7 %","49.2 %","60.1 %","86.7 %","75.5 %","42.6 %","61.8 %","12.0 %","6632"
"Zack Greinke","Diamondbacks","35.9 %","67.1 %","48.9 %","62.8 %","90.5 %","78.6 %","41.5 %","67.8 %","10.4 %","1943"
"Kelvin Herrera","Royals","35.7 %","68.4 %","50.9 %","56.0 %","78.6 %","70.1 %","46.4 %","64.7 %","15.2 %","6033"
"Wade LeBlanc","- - -","35.7 %","64.1 %","48.5 %","75.1 %","85.0 %","81.0 %","45.1 %","63.1 %","9.2 %","5221"
"Kenley Jansen","Dodgers","35.6 %","74.9 %","56.5 %","53.6 %","76.3 %","69.6 %","53.2 %","68.1 %","17.1 %","3096"
"Mark Melancon","- - -","35.6 %","65.3 %","48.3 %","62.5 %","88.1 %","77.3 %","42.8 %","65.9 %","11.0 %","4264"
"Nate Jones","White Sox","35.5 %","69.6 %","51.5 %","49.5 %","84.9 %","71.9 %","46.9 %","63.9 %","14.3 %","4696"
"Jose Alvarez","Angels","35.5 %","70.4 %","51.8 %","69.9 %","86.0 %","80.1 %","46.7 %","63.7 %","10.1 %","5358"
"Zack Godley","Diamondbacks","35.5 %","64.4 %","47.0 %","55.7 %","90.3 %","74.5 %","39.6 %","54.9 %","11.8 %","14862"
"Chris Devenski","Astros","35.5 %","66.2 %","49.9 %","61.5 %","79.8 %","72.9 %","47.1 %","64.5 %","13.5 %","12763"
"Michael Pineda","Yankees","35.4 %","66.5 %","48.6 %","49.8 %","86.2 %","70.9 %","42.4 %","67.3 %","14.1 %","5372"
"Joe Biagini","Blue Jays","35.4 %","67.3 %","48.6 %","61.0 %","87.7 %","76.3 %","41.4 %","69.5 %","11.5 %","13194"
"Sean Manaea","Athletics","35.4 %","70.8 %","51.6 %","61.1 %","86.6 %","77.1 %","45.8 %","64.8 %","11.8 %","15873"
"Dustin McGowan","Marlins","35.3 %","71.0 %","49.1 %","53.7 %","82.6 %","69.8 %","38.4 %","59.1 %","14.4 %","8600"
"Brad Brach","Orioles","35.3 %","71.5 %","50.4 %","56.8 %","80.0 %","70.5 %","41.6 %","60.1 %","14.8 %","6627"
"Kyle Gibson","Twins","35.3 %","62.1 %","45.1 %","65.5 %","90.9 %","78.3 %","36.5 %","59.4 %","9.8 %","10123"
"Josh Tomlin","Indians","35.2 %","63.9 %","48.1 %","74.7 %","91.4 %","84.7 %","44.9 %","67.7 %","7.4 %","9388"
"Zach Neal","Athletics","35.2 %","76.8 %","54.5 %","70.8 %","89.9 %","83.3 %","46.5 %","61.6 %","9.1 %","11294"
"Ivan Nova","- - -","35.2 %","67.3 %","49.3 %","62.6 %","93.1 %","80.9 %","43.9 %","61.7 %","9.4 %","1994"
"Matt Shoemaker","Angels","35.0 %","71.0 %","51.5 %","56.5 %","85.0 %","74.5 %","45.8 %","68.6 %","13.1 %","4776"
"Cole Hamels","Rangers","35.0 %","68.0 %","48.4 %","60.9 %","85.1 %","74.7 %","40.5 %","57.6 %","12.2 %","4972"
"Matt Harvey","Mets","34.9 %","67.7 %","50.3 %","69.6 %","85.8 %","79.8 %","46.9 %","65.9 %","10.1 %","11713"
"Kevin Gausman","Orioles","34.8 %","67.1 %","48.2 %","65.5 %","86.5 %","77.6 %","41.4 %","56.8 %","10.8 %","14107"
"Max Scherzer","Nationals","34.7 %","69.4 %","51.5 %","53.7 %","79.0 %","70.2 %","48.2 %","65.1 %","15.3 %","3137"
"Justin Wilson","Tigers","34.6 %","68.2 %","50.0 %","63.2 %","81.9 %","74.9 %","45.9 %","58.6 %","12.5 %","4301"
"Liam Hendriks","Athletics","34.6 %","73.5 %","53.8 %","62.6 %","88.0 %","79.7 %","49.5 %","65.5 %","10.8 %","3548"
"Jhan Marinez","- - -","34.5 %","66.8 %","47.4 %","73.9 %","86.9 %","81.2 %","40.0 %","56.1 %","8.8 %","5830"
"Jose Urena","Marlins","34.4 %","65.6 %","46.3 %","70.2 %","90.4 %","81.1 %","38.0 %","55.8 %","8.6 %","11589"
"Fernando Salas","- - -","34.4 %","70.0 %","51.1 %","69.1 %","83.9 %","78.6 %","47.0 %","65.9 %","10.9 %","4971"
"Alex Colome","Rays","34.4 %","68.9 %","49.5 %","51.5 %","80.7 %","69.3 %","43.9 %","63.7 %","15.1 %","6661"
"Clayton Kershaw","Dodgers","34.4 %","67.6 %","51.5 %","49.0 %","80.3 %","70.2 %","51.5 %","69.7 %","15.3 %","2036"
"Shane Greene","Tigers","34.3 %","64.2 %","47.8 %","58.9 %","82.6 %","73.2 %","44.9 %","58.2 %","12.7 %","10756"
"Corey Kluber","Indians","34.3 %","66.1 %","48.4 %","54.3 %","86.7 %","73.9 %","44.3 %","62.4 %","12.6 %","2429"
"Justin Verlander","Tigers","34.3 %","69.6 %","50.0 %","64.7 %","82.8 %","75.9 %","44.5 %","64.2 %","12.0 %","8700"
"Joe Blanton","Dodgers","34.3 %","68.2 %","48.2 %","44.7 %","88.7 %","70.2 %","41.1 %","65.1 %","14.2 %","4849"
"Cody Anderson","Indians","33.8 %","74.1 %","52.6 %","62.4 %","84.2 %","76.7 %","46.7 %","57.8 %","12.2 %","12799"
"Will Harris","Astros","33.8 %","65.6 %","47.4 %","55.0 %","83.9 %","72.1 %","42.7 %","63.5 %","13.2 %","3192"
"Brandon Kintzler","Twins","33.8 %","59.3 %","44.6 %","75.6 %","90.9 %","84.2 %","42.6 %","65.2 %","7.0 %","9939"
"Pedro Baez","Dodgers","33.8 %","74.0 %","52.1 %","60.7 %","78.4 %","72.2 %","45.7 %","63.4 %","14.5 %","5420"
"Ryan Pressly","Twins","33.6 %","70.8 %","51.1 %","55.6 %","88.4 %","76.9 %","47.1 %","57.0 %","11.7 %","7005"
"Matt Boyd","Tigers","33.5 %","69.9 %","50.2 %","75.1 %","84.4 %","81.1 %","45.9 %","62.9 %","9.5 %","15440"
"Edwin Diaz","Mariners","33.5 %","70.7 %","51.2 %","46.9 %","72.2 %","63.5 %","47.5 %","58.1 %","18.5 %","14710"
"Neftali Feliz","Pirates","33.4 %","76.4 %","52.5 %","59.2 %","80.4 %","72.9 %","44.3 %","59.6 %","14.2 %","18"
"Ryan Madson","Athletics","33.3 %","71.9 %","50.2 %","65.1 %","82.7 %","76.1 %","43.8 %","56.3 %","11.9 %","1852"
"Hector Neris","Phillies","33.3 %","67.6 %","49.2 %","54.1 %","76.7 %","68.4 %","46.1 %","52.1 %","15.4 %","11804"
"Ian Krol","Braves","33.3 %","65.0 %","48.3 %","63.6 %","87.8 %","79.1 %","47.4 %","59.9 %","10.0 %","10066"
"Chris Sale","White Sox","33.3 %","66.3 %","49.0 %","65.4 %","83.2 %","76.9 %","47.7 %","62.2 %","11.3 %","10603"
"Kyle Ryan","Tigers","33.3 %","68.3 %","49.7 %","67.6 %","89.4 %","81.6 %","46.9 %","62.0 %","9.0 %","11753"
"Hisashi Iwakuma","Mariners","33.3 %","65.8 %","48.7 %","71.0 %","91.1 %","83.9 %","47.6 %","64.2 %","7.8 %","13048"
"Tyler Anderson","Rockies","33.2 %","68.9 %","50.5 %","64.8 %","85.9 %","78.7 %","48.3 %","64.0 %","10.7 %","12880"
"Adam Morgan","Phillies","33.2 %","69.4 %","48.4 %","64.7 %","87.0 %","78.1 %","41.9 %","59.9 %","10.5 %","12580"
"Alex Claudio","Rangers","33.2 %","63.3 %","46.5 %","65.8 %","85.1 %","77.4 %","44.2 %","64.5 %","10.5 %","12890"
"Jameson Taillon","Pirates","33.1 %","70.1 %","48.4 %","68.7 %","92.2 %","82.8 %","41.4 %","61.7 %","8.3 %","11674"
"Tyler Duffey","Twins","33.1 %","65.6 %","47.3 %","70.5 %","89.6 %","82.1 %","43.6 %","63.8 %","8.5 %","13758"
"Dillon Gee","Royals","33.1 %","63.9 %","47.1 %","72.5 %","89.2 %","82.8 %","45.5 %","61.0 %","8.1 %","7396"
"Collin McHugh","Astros","33.1 %","65.4 %","47.5 %","61.7 %","87.2 %","77.4 %","44.7 %","67.0 %","10.7 %","7531"
"Deolis Guerra","Angels","33.1 %","66.7 %","48.1 %","63.0 %","90.3 %","79.9 %","44.6 %","55.0 %","9.7 %","8410"
"John Lackey","Cubs","33.0 %","67.5 %","48.6 %","58.4 %","87.1 %","76.4 %","45.1 %","68.1 %","11.5 %","1507"
"Christian Friedrich","Padres","33.0 %","63.9 %","46.0 %","67.7 %","91.3 %","81.6 %","42.2 %","60.5 %","8.5 %","7942"
"Miguel Gonzalez","White Sox","33.0 %","67.8 %","48.5 %","74.4 %","89.0 %","83.5 %","44.7 %","61.0 %","8.0 %","7024"
"Michael Fulmer","Tigers","32.9 %","69.1 %","48.6 %","68.6 %","84.7 %","78.5 %","43.2 %","61.1 %","10.4 %","13218"
"David Price","Red Sox","32.9 %","70.6 %","50.7 %","66.7 %","81.6 %","76.5 %","47.2 %","64.9 %","11.9 %","3184"
"Jeremy Hellickson","Phillies","32.9 %","67.8 %","47.5 %","65.4 %","85.1 %","77.2 %","42.0 %","60.9 %","10.8 %","4371"
"Tony Barnette","Rangers","32.8 %","71.6 %","49.5 %","62.8 %","85.1 %","76.7 %","42.9 %","57.3 %","11.5 %","3555"
"Alex Wilson","Tigers","32.8 %","71.1 %","47.4 %","65.8 %","92.4 %","81.0 %","38.2 %","58.3 %","8.9 %","9239"
"Felipe Rivero","- - -","32.8 %","66.7 %","48.5 %","53.3 %","79.1 %","69.8 %","46.4 %","57.2 %","14.5 %","12076"
"Joe Smith","- - -","32.7 %","61.5 %","46.0 %","67.4 %","89.9 %","81.3 %","46.3 %","65.9 %","8.5 %","3281"
"Mike Foltynewicz","Braves","32.6 %","65.6 %","48.2 %","68.1 %","85.3 %","79.2 %","47.2 %","63.4 %","10.0 %","10811"
"Blaine Boyer","Brewers","32.5 %","73.7 %","52.4 %","82.9 %","90.5 %","88.1 %","48.3 %","63.8 %","6.2 %","2237"
"Wade Miley","- - -","32.5 %","63.7 %","46.2 %","69.1 %","88.9 %","81.0 %","43.8 %","60.2 %","8.8 %","8779"
"Aroldis Chapman","- - -","32.4 %","73.1 %","53.7 %","56.3 %","69.2 %","65.5 %","52.3 %","57.7 %","18.6 %","10233"
"Johnny Cueto","Giants","32.4 %","67.1 %","47.9 %","69.4 %","86.9 %","80.3 %","44.5 %","68.6 %","9.4 %","6893"
"Jose Fernandez","Marlins","32.3 %","62.6 %","46.0 %","48.7 %","81.8 %","69.0 %","45.1 %","60.9 %","14.2 %","11530"
"Jonathan Broxton","Cardinals","32.3 %","69.1 %","49.1 %","63.4 %","88.1 %","79.3 %","45.8 %","59.5 %","10.0 %","4759"
"Santiago Casilla","Giants","32.2 %","66.4 %","45.4 %","61.0 %","87.6 %","75.9 %","38.5 %","53.5 %","10.8 %","2873"
"Daniel Hudson","Diamondbacks","32.2 %","71.6 %","49.5 %","69.0 %","79.5 %","75.6 %","43.8 %","56.0 %","12.0 %","7146"
"Madison Bumgarner","Giants","32.2 %","66.7 %","47.6 %","62.0 %","84.2 %","75.9 %","44.7 %","65.2 %","11.5 %","5524"
"Yu Darvish","Rangers","32.2 %","66.2 %","47.4 %","59.3 %","81.8 %","73.4 %","44.8 %","58.2 %","12.6 %","13074"
"Jake Barrett","Diamondbacks","32.2 %","70.5 %","48.1 %","54.2 %","86.9 %","74.1 %","41.5 %","58.4 %","12.3 %","13322"
"Dylan Bundy","Orioles","32.2 %","69.5 %","50.1 %","68.2 %","84.2 %","78.8 %","48.0 %","61.2 %","10.5 %","12917"
"Danny Duffy","Royals","32.1 %","70.6 %","51.3 %","61.0 %","81.3 %","74.9 %","49.8 %","62.2 %","12.9 %","3542"
"Vidal Nuno","Mariners","32.1 %","71.2 %","50.7 %","75.2 %","88.5 %","84.1 %","47.4 %","63.2 %","8.0 %","9674"
"James Paxton","Mariners","32.0 %","69.9 %","50.0 %","58.6 %","85.4 %","76.4 %","47.5 %","62.4 %","11.7 %","11828"
"Jeff Samardzija","Giants","32.0 %","67.9 %","48.4 %","68.1 %","88.0 %","80.9 %","45.6 %","63.7 %","9.2 %","3254"
"Eduardo Rodriguez","Red Sox","31.9 %","73.2 %","49.2 %","66.0 %","85.9 %","78.4 %","41.9 %","59.2 %","10.6 %","13164"
"Kenta Maeda","Dodgers","31.9 %","64.8 %","45.7 %","61.3 %","83.6 %","74.5 %","41.9 %","61.7 %","11.6 %","18498"
"Jake Odorizzi","Rays","31.9 %","70.8 %","48.9 %","72.8 %","84.9 %","80.5 %","43.7 %","58.7 %","9.5 %","6397"
"Joe Ross","Nationals","31.8 %","66.5 %","47.3 %","59.9 %","86.5 %","76.6 %","44.7 %","56.4 %","11.0 %","12972"
"Felix Hernandez","Mariners","31.8 %","67.4 %","46.2 %","62.5 %","90.8 %","79.2 %","40.5 %","59.2 %","9.6 %","4772"
"Derek Holland","Rangers","31.8 %","69.3 %","48.0 %","77.2 %","87.7 %","83.8 %","43.2 %","62.3 %","7.8 %","4141"
"Taijuan Walker","Mariners","31.8 %","67.0 %","48.2 %","66.8 %","86.0 %","79.3 %","46.8 %","63.7 %","10.0 %","11836"
"Kyle Hendricks","Cubs","31.7 %","59.5 %","42.9 %","63.2 %","87.2 %","76.6 %","40.2 %","68.6 %","10.0 %","12049"
"Addison Reed","Mets","31.7 %","69.9 %","51.9 %","59.7 %","84.4 %","77.3 %","52.9 %","70.1 %","11.7 %","10586"
"CC Sabathia","Yankees","31.7 %","64.0 %","45.9 %","65.2 %","86.7 %","78.4 %","44.1 %","60.9 %","9.9 %","404"
"Martin Perez","Rangers","31.7 %","67.0 %","47.7 %","72.2 %","89.9 %","83.5 %","45.4 %","64.6 %","7.9 %","6902"
"Rick Porcello","Red Sox","31.6 %","65.1 %","48.0 %","72.0 %","88.4 %","82.9 %","49.0 %","64.2 %","8.2 %","2717"
"Pat Dean","Twins","31.6 %","67.0 %","46.6 %","79.6 %","91.4 %","86.8 %","42.3 %","61.0 %","6.1 %","11350"
"Blake Treinen","Nationals","31.6 %","62.6 %","45.7 %","55.4 %","89.3 %","76.5 %","45.6 %","57.0 %","10.5 %","12572"
"Tommy Milone","Twins","31.6 %","63.9 %","45.0 %","72.3 %","86.3 %","80.6 %","41.5 %","65.0 %","8.7 %","7608"
"Lance McCullers","Astros","31.5 %","61.8 %","43.9 %","45.0 %","88.8 %","70.2 %","40.9 %","56.5 %","13.0 %","14120"
"Ervin Santana","Twins","31.4 %","69.3 %","47.0 %","64.1 %","88.4 %","78.8 %","41.0 %","59.0 %","10.0 %","3200"
"Yusmeiro Petit","Nationals","31.4 %","71.6 %","49.5 %","72.1 %","88.0 %","82.5 %","45.0 %","64.5 %","8.6 %","4020"
"Mike Morin","Angels","31.3 %","65.9 %","48.1 %","57.4 %","83.3 %","74.6 %","48.6 %","67.4 %","12.2 %","13442"
"Joel De La Cruz","Braves","31.3 %","70.7 %","48.0 %","70.3 %","88.7 %","81.8 %","42.3 %","56.9 %","8.7 %","12825"
"Joe Musgrove","Astros","31.3 %","64.2 %","46.3 %","58.1 %","90.6 %","78.6 %","45.6 %","61.7 %","9.9 %","12970"
"Antonio Bastardo","- - -","31.3 %","72.7 %","49.1 %","66.2 %","74.7 %","71.6 %","43.0 %","59.9 %","13.8 %","8844"
"Luis Perdomo","Padres","31.2 %","64.4 %","46.3 %","65.9 %","90.2 %","81.3 %","45.4 %","59.4 %","8.6 %","14682"
"Carlos Villanueva","Padres","31.2 %","66.1 %","47.4 %","61.4 %","84.8 %","76.6 %","46.4 %","65.7 %","11.0 %","4138"
"Tyler Thornburg","Brewers","31.2 %","64.4 %","46.0 %","64.5 %","79.6 %","73.9 %","44.6 %","56.3 %","12.0 %","10688"
"Nathan Eovaldi","Yankees","31.1 %","66.4 %","47.8 %","68.6 %","86.7 %","80.5 %","47.2 %","64.6 %","9.3 %","9132"
"Brad Hand","Padres","31.1 %","62.5 %","44.8 %","56.0 %","83.3 %","72.6 %","43.5 %","58.2 %","12.2 %","9111"
"Craig Kimbrel","Red Sox","31.1 %","62.4 %","44.3 %","47.0 %","78.9 %","65.9 %","42.1 %","68.2 %","15.1 %","6655"
"Drew Pomeranz","- - -","31.1 %","64.3 %","45.8 %","61.4 %","84.4 %","75.7 %","44.3 %","56.3 %","11.1 %","11426"
"A.J. Schugel","Pirates","31.0 %","66.1 %","47.0 %","67.4 %","89.8 %","81.8 %","45.5 %","64.2 %","8.6 %","11432"
"Travis Wood","Cubs","31.0 %","73.3 %","50.1 %","78.4 %","91.3 %","86.9 %","45.2 %","65.9 %","6.5 %","9884"
"Matt Bowman","Cardinals","31.0 %","62.8 %","44.6 %","64.0 %","88.7 %","78.9 %","42.8 %","62.6 %","9.3 %","13528"
"Mychal Givens","Orioles","30.9 %","70.4 %","49.7 %","57.8 %","75.8 %","69.9 %","47.4 %","59.7 %","14.9 %","10430"
"Colby Lewis","Rangers","30.9 %","64.9 %","46.1 %","69.9 %","90.2 %","82.7 %","44.7 %","66.5 %","8.0 %","1259"
"Mike Montgomery","- - -","30.9 %","63.6 %","44.8 %","56.3 %","85.5 %","73.9 %","42.4 %","55.8 %","11.6 %","4869"
"Jon Lester","Cubs","30.9 %","68.1 %","46.7 %","62.5 %","87.3 %","77.8 %","42.4 %","62.9 %","10.3 %","4930"
"Vince Velasquez","Phillies","30.9 %","65.2 %","46.7 %","63.1 %","83.1 %","75.9 %","45.9 %","59.7 %","11.2 %","11189"
"Julio Teheran","Braves","30.9 %","69.1 %","48.4 %","65.3 %","85.7 %","78.7 %","45.9 %","61.6 %","10.3 %","6797"
"Jordan Lyles","Rockies","30.9 %","68.2 %","46.8 %","72.6 %","92.0 %","84.7 %","42.7 %","60.1 %","7.1 %","7593"
"Michael Lorenzen","Reds","30.9 %","62.9 %","45.7 %","60.0 %","90.0 %","79.1 %","46.4 %","61.9 %","9.5 %","14843"
"Mike Leake","Cardinals","30.8 %","67.5 %","47.4 %","70.9 %","92.7 %","84.9 %","45.0 %","62.1 %","7.2 %","10130"
"Marcus Stroman","Blue Jays","30.8 %","66.6 %","46.8 %","62.4 %","90.4 %","80.2 %","44.7 %","60.9 %","9.3 %","13431"
"Matt Garza","Brewers","30.8 %","67.6 %","46.6 %","69.0 %","91.8 %","83.2 %","43.0 %","59.4 %","7.8 %","3340"
"Dellin Betances","Yankees","30.8 %","56.3 %","41.8 %","46.6 %","74.9 %","63.0 %","43.1 %","60.9 %","15.4 %","6216"
"Jason Grilli","- - -","30.8 %","65.8 %","45.1 %","53.1 %","81.6 %","70.1 %","41.0 %","56.6 %","13.4 %","521"
"JC Ramirez","- - -","30.8 %","69.4 %","50.1 %","64.2 %","88.3 %","80.9 %","50.0 %","61.2 %","9.5 %","8302"
"Brandon Maurer","Padres","30.8 %","68.5 %","47.4 %","60.6 %","83.3 %","75.0 %","44.1 %","60.0 %","11.6 %","4878"
"Clayton Richard","- - -","30.6 %","65.7 %","45.1 %","70.5 %","88.3 %","81.2 %","41.3 %","62.8 %","8.4 %","3551"
"Patrick Corbin","Diamondbacks","30.6 %","66.5 %","45.1 %","60.3 %","91.5 %","78.8 %","40.3 %","56.8 %","9.5 %","9323"
"Bartolo Colon","Mets","30.6 %","63.3 %","46.8 %","79.0 %","92.7 %","88.2 %","49.7 %","63.2 %","5.5 %","375"
"Chris Rusin","Rockies","30.6 %","68.4 %","47.2 %","64.7 %","88.6 %","79.9 %","44.0 %","57.7 %","9.4 %","9895"
"Jason Hammel","Cubs","30.5 %","65.3 %","46.1 %","61.0 %","87.7 %","77.9 %","44.7 %","60.0 %","10.2 %","4538"
"Chris Archer","Rays","30.5 %","64.9 %","45.4 %","54.3 %","84.7 %","73.1 %","43.2 %","58.6 %","12.2 %","6345"
"Jake Peavy","Giants","30.5 %","69.8 %","48.1 %","61.6 %","87.0 %","78.1 %","44.7 %","64.4 %","10.5 %","1051"
"Fernando Rodney","- - -","30.5 %","62.3 %","43.5 %","55.6 %","81.0 %","70.5 %","40.8 %","57.6 %","12.7 %","494"
"Gerrit Cole","Pirates","30.5 %","68.0 %","48.4 %","65.7 %","90.6 %","82.4 %","47.9 %","60.3 %","8.5 %","13125"
"Aaron Blair","Braves","30.4 %","72.0 %","46.8 %","62.4 %","88.8 %","78.4 %","39.4 %","56.5 %","10.0 %","14934"
"Ryan Dull","Athletics","30.4 %","66.1 %","46.4 %","57.9 %","81.6 %","73.0 %","44.9 %","63.5 %","12.4 %","13974"
"Eddie Butler","Rockies","30.4 %","67.2 %","46.1 %","69.0 %","92.2 %","83.5 %","42.8 %","58.4 %","7.6 %","13453"
"Ricky Nolasco","- - -","30.4 %","66.7 %","46.2 %","63.4 %","90.0 %","80.1 %","43.6 %","61.0 %","9.2 %","3830"
"Luis Cessa","Yankees","30.4 %","67.5 %","46.6 %","58.3 %","87.4 %","76.7 %","43.6 %","57.9 %","10.8 %","13345"
"Anibal Sanchez","Tigers","30.3 %","66.9 %","46.7 %","68.5 %","86.9 %","80.3 %","44.7 %","66.6 %","9.2 %","3284"
"Jon Gray","Rockies","30.3 %","68.6 %","48.6 %","51.5 %","86.6 %","75.1 %","47.7 %","62.4 %","12.1 %","14916"
"Clay Buchholz","Red Sox","30.3 %","65.5 %","45.4 %","66.2 %","86.9 %","79.0 %","43.1 %","62.6 %","9.5 %","3543"
"Randall Delgado","Diamondbacks","30.3 %","63.3 %","44.5 %","61.6 %","87.7 %","77.6 %","43.0 %","62.9 %","9.9 %","5985"
"Dan Jennings","White Sox","30.3 %","63.3 %","44.4 %","62.4 %","92.8 %","80.9 %","42.8 %","53.7 %","8.5 %","8073"
"Stephen Strasburg","Nationals","30.3 %","68.0 %","48.9 %","60.6 %","85.2 %","77.5 %","49.4 %","65.6 %","11.0 %","10131"
"Anthony DeSclafani","Reds","30.3 %","65.2 %","45.8 %","56.8 %","92.1 %","79.2 %","44.5 %","58.8 %","9.5 %","13050"
"Zach Davies","Brewers","30.3 %","63.4 %","44.0 %","72.5 %","86.5 %","80.9 %","41.5 %","61.6 %","8.4 %","13183"
"Carlos Martinez","Cardinals","30.2 %","64.7 %","46.5 %","64.5 %","87.7 %","79.7 %","47.3 %","62.3 %","9.4 %","11682"
"Brian Flynn","Royals","30.2 %","69.2 %","45.8 %","62.2 %","85.8 %","76.4 %","39.9 %","55.2 %","10.8 %","12027"
"George Kontos","Giants","30.2 %","70.5 %","47.3 %","66.4 %","85.2 %","78.3 %","42.5 %","61.1 %","10.1 %","9486"
"Juan Nicasio","Pirates","30.2 %","67.0 %","46.7 %","69.0 %","83.3 %","78.2 %","44.9 %","63.0 %","10.1 %","7731"
"Matt Wisler","Braves","30.2 %","70.6 %","47.5 %","63.9 %","90.8 %","81.0 %","42.9 %","58.3 %","9.0 %","12804"
"Logan Verrett","Mets","30.1 %","67.5 %","47.0 %","66.3 %","89.9 %","81.6 %","45.1 %","62.6 %","8.6 %","12905"
"Jacob deGrom","Mets","30.1 %","69.7 %","48.7 %","63.8 %","84.9 %","78.0 %","47.0 %","63.9 %","10.7 %","10954"
"Wei-Yin Chen","Marlins","30.1 %","67.9 %","48.8 %","67.8 %","87.4 %","81.3 %","49.5 %","63.9 %","9.1 %","13071"
"Andrew Triggs","Athletics","30.1 %","60.7 %","43.2 %","60.4 %","86.7 %","76.3 %","42.9 %","53.8 %","10.2 %","13533"
"Dallas Keuchel","Astros","30.1 %","63.0 %","43.8 %","62.7 %","88.5 %","78.2 %","41.6 %","63.3 %","9.6 %","9434"
"Julio Urias","Dodgers","30.0 %","65.3 %","44.8 %","67.2 %","83.2 %","77.0 %","41.9 %","62.8 %","10.3 %","14765"
"Francisco Rodriguez","Tigers","30.0 %","66.8 %","45.7 %","59.8 %","81.8 %","73.5 %","42.6 %","60.9 %","12.1 %","1642"
"Gio Gonzalez","Nationals","30.0 %","62.9 %","43.5 %","67.8 %","85.6 %","78.4 %","41.0 %","57.5 %","9.4 %","7448"
"Francisco Liriano","- - -","30.0 %","61.9 %","42.5 %","52.7 %","88.6 %","73.2 %","39.2 %","55.5 %","11.4 %","3201"
"Drew Smyly","Rays","30.0 %","67.2 %","47.1 %","63.0 %","85.4 %","77.7 %","46.1 %","58.4 %","10.5 %","11760"
"Jerad Eickhoff","Phillies","30.0 %","64.6 %","45.4 %","63.4 %","88.6 %","79.3 %","44.5 %","61.2 %","9.4 %","12664"
"Cody Allen","Indians","29.9 %","66.7 %","46.9 %","48.6 %","81.3 %","70.1 %","46.3 %","55.3 %","14.0 %","12183"
"Michael Wacha","Cardinals","29.9 %","67.2 %","47.5 %","72.0 %","88.1 %","82.7 %","47.2 %","59.1 %","8.1 %","14078"
"Tim Adleman","Reds","29.9 %","68.8 %","49.0 %","69.1 %","85.2 %","80.2 %","49.0 %","65.9 %","9.7 %","10968"
"Jon Niese","- - -","29.9 %","65.7 %","45.8 %","73.5 %","90.1 %","84.1 %","44.5 %","62.6 %","7.3 %","4424"
