"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Zach Davies","Brewers","7.44","2.09","3.55","1.10","19.8 %","5.6 %","14.2 %",".260","1.25",".302","72.0 %","93","92","95","3.97","3.89","0.07","3.94","4.06","13183"
"Ross Stripling","Dodgers","6.66","2.70","2.47","0.90","17.7 %","7.2 %","10.5 %",".247","1.26",".283","71.7 %","99","96","99","3.96","3.90","0.06","4.10","4.25","13273"
"Michael Wacha","Cardinals","7.43","2.93","2.53","0.98","18.8 %","7.4 %","11.4 %",".284","1.48",".334","64.7 %","125","96","98","5.09","3.91","1.18","4.05","4.31","14078"
"Daniel Norris","Tigers","9.22","2.86","3.23","1.30","23.5 %","7.3 %","16.2 %",".268","1.40",".327","80.7 %","79","91","94","3.38","3.93","-0.55","4.00","3.94","13475"
"Adam Wainwright","Cardinals","7.29","2.67","2.73","1.00","19.0 %","7.0 %","12.0 %",".281","1.40",".330","69.5 %","114","96","98","4.62","3.93","0.69","4.06","4.31","2233"
"Santiago Casilla","Giants","10.09","2.95","3.42","1.24","27.0 %","7.9 %","19.1 %",".230","1.19",".292","81.2 %","89","101","89","3.57","3.94","-0.37","3.67","3.20","2873"
"Bryan Shaw","Indians","9.32","3.78","2.46","1.08","25.1 %","10.2 %","14.9 %",".228","1.26",".284","80.0 %","75","92","84","3.24","3.94","-0.70","3.58","3.52","8110"
"Collin McHugh","Astros","8.63","2.63","3.28","1.22","22.2 %","6.8 %","15.5 %",".280","1.41",".338","75.2 %","107","93","96","4.34","3.95","0.39","4.09","4.02","7531"
"Chad Kuhl","Pirates","6.75","2.55","2.65","0.89","17.6 %","6.6 %","11.0 %",".264","1.32",".304","72.3 %","103","97","109","4.20","3.95","0.25","4.53","4.50","14975"
"J.A. Happ","Blue Jays","7.52","2.77","2.72","1.02","20.5 %","7.5 %","12.9 %",".230","1.17",".268","79.7 %","75","92","98","3.18","3.96","-0.77","4.18","4.28","7410"
"Anthony DeSclafani","Reds","7.66","2.19","3.50","1.17","20.7 %","5.9 %","14.8 %",".254","1.22",".295","78.3 %","78","94","97","3.28","3.96","-0.67","3.99","4.07","13050"
"Jeanmar Gomez","Phillies","6.16","2.88","2.14","0.79","15.8 %","7.4 %","8.4 %",".286","1.46",".327","68.4 %","117","93","103","4.85","3.96","0.89","4.26","4.12","9033"
"Vince Velasquez","Phillies","10.44","3.09","3.38","1.44","27.6 %","8.2 %","19.4 %",".255","1.33",".325","76.2 %","99","93","89","4.12","3.96","0.16","3.67","3.62","11189"
"Blaine Boyer","Brewers","3.55","2.32","1.53","0.55","9.2 %","6.0 %","3.2 %",".303","1.47",".325","73.6 %","93","93","118","3.95","3.96","-0.01","4.89","4.87","2237"
"Jeremy Hellickson","Phillies","7.33","2.14","3.42","1.14","20.0 %","5.8 %","14.1 %",".240","1.15",".274","72.5 %","89","93","97","3.71","3.98","-0.26","3.99","4.15","4371"
"Cole Hamels","Rangers","8.97","3.45","2.60","1.08","23.6 %","9.1 %","14.5 %",".242","1.31",".299","79.1 %","75","92","91","3.32","3.98","-0.66","3.85","3.99","4972"
"Bartolo Colon","Mets","6.01","1.50","4.00","1.13","16.2 %","4.1 %","12.1 %",".265","1.21",".291","76.5 %","86","97","101","3.43","3.99","-0.56","4.17","4.37","375"
"Trevor Bauer","Indians","7.96","3.32","2.40","0.95","20.7 %","8.6 %","12.1 %",".245","1.31",".292","70.4 %","99","94","97","4.26","3.99","0.27","4.13","4.22","12703"
"Zach McAllister","Indians","9.29","3.96","2.35","1.03","23.2 %","9.9 %","13.3 %",".255","1.45",".318","81.9 %","80","94","108","3.44","4.01","-0.57","4.58","3.99","2895"
"Jhoulys Chacin","- - -","7.44","3.44","2.16","0.88","18.8 %","8.7 %","10.1 %",".267","1.44",".317","68.3 %","118","97","100","4.81","4.01","0.80","4.21","4.38","2608"
"Carlos Rodon","White Sox","9.16","2.95","3.11","1.25","23.5 %","7.6 %","15.9 %",".269","1.39",".330","75.6 %","97","93","91","4.04","4.01","0.02","3.89","3.91","16137"
"John Axford","Athletics","8.22","4.11","2.00","0.82","20.8 %","10.4 %","10.4 %",".254","1.45",".311","75.9 %","96","96","98","3.97","4.01","-0.04","4.15","3.99","9059"
"Brian Flynn","Royals","7.16","3.74","1.91","0.81","19.9 %","10.4 %","9.5 %",".193","1.10",".223","78.2 %","61","97","96","2.60","4.03","-1.43","4.06","4.10","12027"
"Nathan Karns","Mariners","9.64","4.29","2.24","1.05","24.2 %","10.8 %","13.4 %",".257","1.48",".327","69.0 %","127","97","99","5.15","4.05","1.10","4.23","4.23","12638"
"Ryan Madson","Athletics","6.82","2.78","2.45","0.97","18.2 %","7.4 %","10.7 %",".254","1.28",".292","77.1 %","88","97","99","3.62","4.06","-0.44","4.20","4.06","1852"
"Sean Manaea","Athletics","7.71","2.30","3.35","1.24","20.9 %","6.2 %","14.7 %",".244","1.19",".281","75.0 %","93","97","93","3.86","4.08","-0.22","3.96","4.04","15873"
"Archie Bradley","Diamondbacks","9.08","4.26","2.13","1.02","22.4 %","10.5 %","11.9 %",".272","1.56",".338","69.6 %","114","98","99","5.02","4.10","0.92","4.10","4.35","12918"
"Jonathan Broxton","Cardinals","8.46","3.56","2.38","1.04","22.0 %","9.3 %","12.7 %",".224","1.25",".268","67.9 %","106","100","95","4.30","4.10","0.20","3.92","3.81","4759"
"Kevin Gausman","Orioles","8.72","2.35","3.70","1.40","23.0 %","6.2 %","16.8 %",".260","1.28",".308","81.2 %","85","93","89","3.61","4.10","-0.50","3.77","3.81","14107"
"Ivan Nova","- - -","7.06","1.56","4.54","1.28","18.6 %","4.1 %","14.5 %",".270","1.25",".306","72.9 %","99","96","88","4.17","4.11","0.06","3.70","3.76","1994"
"Zack Greinke","Diamondbacks","7.60","2.33","3.27","1.30","20.1 %","6.2 %","13.9 %",".257","1.27",".294","71.9 %","100","98","96","4.37","4.12","0.25","3.98","4.11","1943"
"Blake Wood","Reds","9.51","4.46","2.13","1.06","24.6 %","11.5 %","13.0 %",".248","1.43",".315","74.5 %","95","98","93","3.99","4.12","-0.13","3.84","3.78","1345"
"Jake Barrett","Diamondbacks","8.49","4.25","2.00","0.91","22.4 %","11.2 %","11.2 %",".215","1.26",".261","76.2 %","80","99","110","3.49","4.14","-0.65","4.54","4.15","13322"
"Ricky Nolasco","- - -","6.56","2.00","3.27","1.18","17.6 %","5.4 %","12.2 %",".263","1.24",".294","68.5 %","104","97","104","4.42","4.14","0.27","4.41","4.39","3830"
"Marco Estrada","Blue Jays","8.44","3.32","2.54","1.18","22.8 %","9.0 %","13.8 %",".202","1.12",".234","75.8 %","82","97","109","3.48","4.15","-0.67","4.64","4.35","1118"
"Nick Vincent","Mariners","9.70","2.24","4.33","1.64","26.3 %","6.1 %","20.2 %",".229","1.13",".271","80.2 %","92","100","93","3.73","4.16","-0.43","3.94","3.26","7555"
"Christian Friedrich","Padres","6.96","3.62","1.92","0.90","17.6 %","9.2 %","8.5 %",".255","1.41",".295","66.6 %","121","103","115","4.80","4.16","0.64","4.75","4.80","7942"
"Clayton Richard","- - -","5.45","4.12","1.32","0.53","13.4 %","10.1 %","3.3 %",".297","1.66",".338","72.9 %","82","102","107","3.33","4.17","-0.84","4.41","4.46","3551"
"Matt Moore","- - -","8.08","3.27","2.47","1.13","21.2 %","8.6 %","12.7 %",".242","1.29",".285","74.5 %","101","102","108","4.08","4.17","-0.09","4.56","4.39","1890"
"Joe Musgrove","Astros","7.98","2.32","3.44","1.31","21.5 %","6.3 %","15.2 %",".249","1.21",".289","76.5 %","100","99","95","4.06","4.18","-0.11","4.04","3.98","12970"
"Jerad Eickhoff","Phillies","7.62","1.92","3.98","1.37","20.6 %","5.2 %","15.4 %",".246","1.16",".278","76.4 %","88","98","100","3.65","4.19","-0.54","4.15","4.05","12664"
"Dustin McGowan","Marlins","8.46","4.43","1.91","0.94","22.6 %","11.8 %","10.8 %",".201","1.22",".241","78.2 %","70","104","99","2.82","4.19","-1.37","4.10","4.02","8600"
"Adam Conley","Marlins","8.37","4.19","2.00","0.88","21.2 %","10.6 %","10.6 %",".245","1.40",".299","77.3 %","95","104","117","3.85","4.20","-0.35","4.84","4.64","14457"
"Tyler Clippard","- - -","10.29","3.71","2.77","1.43","27.5 %","9.9 %","17.6 %",".230","1.27",".288","80.6 %","82","99","101","3.57","4.21","-0.64","4.24","3.56","5640"
"Drew Storen","- - -","8.36","2.26","3.69","1.22","21.1 %","5.7 %","15.4 %",".269","1.34",".320","69.5 %","124","99","96","5.23","4.21","1.01","4.06","3.51","6983"
"Carlos Estevez","Rockies","9.65","4.58","2.11","0.98","24.0 %","11.4 %","12.6 %",".235","1.42",".297","68.4 %","109","96","112","5.24","4.22","1.02","4.65","4.02","14542"
"Chris Tillman","Orioles","7.33","3.45","2.12","0.99","19.6 %","9.2 %","10.4 %",".241","1.28",".282","77.0 %","89","96","107","3.77","4.23","-0.46","4.54","4.61","5279"
"Scott Feldman","- - -","6.55","2.22","2.95","1.17","16.6 %","5.6 %","11.0 %",".275","1.38",".308","70.5 %","96","100","98","3.97","4.24","-0.26","4.17","4.07","6283"
"Randall Delgado","Diamondbacks","8.16","4.32","1.89","0.96","20.2 %","10.7 %","9.5 %",".258","1.51",".309","73.2 %","101","101","115","4.44","4.24","0.20","4.74","4.37","5985"
"Mike Foltynewicz","Braves","8.10","2.55","3.17","1.31","21.1 %","6.7 %","14.5 %",".258","1.30",".301","74.6 %","104","106","101","4.31","4.24","0.06","4.18","4.13","10811"
"Chad Bettis","Rockies","6.68","2.85","2.34","1.06","17.0 %","7.3 %","9.7 %",".273","1.41",".310","68.1 %","99","97","100","4.79","4.26","0.53","4.14","4.39","10587"
"Hisashi Iwakuma","Mariners","6.65","2.08","3.20","1.27","17.6 %","5.5 %","12.1 %",".278","1.33",".311","75.7 %","102","102","104","4.12","4.27","-0.15","4.41","4.43","13048"
"CC Sabathia","Yankees","7.61","3.26","2.34","1.10","19.8 %","8.5 %","11.3 %",".248","1.32",".288","75.7 %","92","97","102","3.91","4.28","-0.37","4.31","4.35","404"
"Fernando Salas","- - -","7.82","2.32","3.37","1.47","21.8 %","6.5 %","15.4 %",".230","1.11",".258","76.7 %","96","104","100","3.91","4.30","-0.39","4.24","3.72","4971"
"Jake Odorizzi","Rays","7.96","2.59","3.07","1.39","21.5 %","7.0 %","14.5 %",".238","1.19",".271","79.0 %","90","104","105","3.69","4.31","-0.62","4.44","4.21","6397"
"David Hernandez","Phillies","9.91","3.96","2.50","1.36","24.8 %","9.9 %","14.9 %",".267","1.50",".335","83.7 %","92","101","100","3.84","4.32","-0.48","4.11","3.75","4259"
"Tyler Chatwood","Rockies","6.66","3.99","1.67","0.85","17.5 %","10.5 %","7.0 %",".247","1.37",".286","73.1 %","80","98","106","3.87","4.32","-0.45","4.37","4.62","4338"
"Matt Garza","Brewers","6.20","3.19","1.94","0.97","15.2 %","7.8 %","7.4 %",".277","1.50",".311","63.3 %","106","102","109","4.51","4.33","0.19","4.49","4.60","3340"
"Bud Norris","- - -","8.12","3.90","2.08","1.12","20.6 %","9.9 %","10.7 %",".262","1.46",".312","68.1 %","125","107","103","5.10","4.33","0.76","4.24","4.38","9492"
"Jason Grilli","- - -","12.36","4.88","2.53","1.53","32.3 %","12.8 %","19.5 %",".203","1.29",".270","78.1 %","98","103","96","4.12","4.33","-0.21","4.05","3.39","521"
"Seth Lugo","Mets","6.33","2.95","2.14","0.98","17.3 %","8.1 %","9.2 %",".209","1.09",".230","85.7 %","67","105","114","2.67","4.33","-1.66","4.71","4.66","12447"
"Daniel Mengden","Athletics","8.88","4.13","2.15","1.13","21.4 %","9.9 %","11.5 %",".281","1.61",".344","61.5 %","157","104","108","6.50","4.34","2.16","4.57","4.50","16980"
"Zach Neal","Athletics","3.47","0.77","4.50","1.16","9.6 %","2.1 %","7.5 %",".263","1.11",".265","66.3 %","103","104","105","4.24","4.35","-0.10","4.46","4.44","11294"
"Trevor Cahill","Cubs","9.05","4.80","1.89","0.96","23.2 %","12.3 %","10.9 %",".201","1.28",".246","84.6 %","65","105","95","2.74","4.35","-1.61","3.93","3.93","6249"
"Jake Peavy","Giants","7.74","2.73","2.83","1.37","19.6 %","6.9 %","12.7 %",".278","1.43",".320","65.4 %","139","111","114","5.54","4.36","1.18","4.70","4.41","1051"
"Joakim Soria","Royals","9.18","3.65","2.52","1.35","23.2 %","9.2 %","14.0 %",".265","1.46",".323","80.0 %","95","105","90","4.05","4.36","-0.31","3.84","3.68","6941"
"Tony Watson","Pirates","7.71","2.66","2.90","1.33","21.3 %","7.4 %","14.0 %",".209","1.06",".232","80.3 %","75","107","102","3.06","4.37","-1.31","4.20","3.81","3132"
"John Gant","Braves","8.82","3.78","2.33","1.26","22.1 %","9.5 %","12.6 %",".271","1.50",".329","67.0 %","117","109","102","4.86","4.39","0.47","4.20","4.17","13684"
"Kendall Graveman","Athletics","5.23","2.27","2.30","1.06","13.7 %","6.0 %","7.8 %",".268","1.31",".289","74.4 %","100","105","103","4.11","4.39","-0.28","4.38","4.57","15514"
"Justin Nicolino","Marlins","4.20","2.27","1.85","0.91","10.7 %","5.8 %","4.9 %",".297","1.46",".317","68.7 %","123","109","120","4.99","4.39","0.60","4.95","5.11","11754"
"Michael Tonkin","Twins","10.05","3.01","3.33","1.63","25.4 %","7.6 %","17.8 %",".278","1.45",".344","68.7 %","117","102","92","5.02","4.40","0.62","3.93","3.43","10315"
"Jordan Zimmermann","Tigers","5.64","2.22","2.54","1.20","14.7 %","5.8 %","8.9 %",".280","1.37",".304","65.7 %","114","102","114","4.87","4.42","0.45","4.84","4.81","4505"
"Eduardo Rodriguez","Red Sox","8.41","3.36","2.50","1.35","21.8 %","8.7 %","13.1 %",".239","1.30",".278","70.2 %","108","106","111","4.71","4.43","0.28","4.72","4.44","13164"
"Kevin Siegrist","Cardinals","9.63","3.79","2.54","1.46","26.6 %","10.5 %","16.1 %",".190","1.10",".221","89.1 %","68","108","103","2.77","4.43","-1.65","4.24","3.68","8180"
"Ubaldo Jimenez","Orioles","7.90","4.55","1.74","1.01","19.6 %","11.3 %","8.3 %",".266","1.56",".318","65.2 %","128","101","109","5.44","4.43","1.01","4.64","4.75","3374"
"Mike Fiers","Astros","7.15","2.24","3.19","1.39","18.5 %","5.8 %","12.7 %",".277","1.36",".313","73.7 %","110","105","97","4.48","4.43","0.05","4.12","4.26","7754"
"Wade Miley","- - -","7.43","2.66","2.80","1.36","19.3 %","6.9 %","12.4 %",".285","1.42",".328","68.6 %","130","105","95","5.37","4.45","0.92","4.04","4.21","8779"
"Scott Kazmir","Dodgers","8.85","3.43","2.58","1.39","22.7 %","8.8 %","13.9 %",".250","1.36",".298","74.4 %","114","110","101","4.56","4.48","0.07","4.19","4.19","4897"
"Jason Hammel","Cubs","7.78","2.86","2.72","1.35","20.8 %","7.7 %","13.2 %",".235","1.21",".267","76.0 %","92","108","105","3.83","4.48","-0.65","4.34","4.28","4538"
"Luis Severino","Yankees","8.37","3.17","2.64","1.39","21.2 %","8.0 %","13.1 %",".275","1.45",".324","64.0 %","137","102","95","5.83","4.48","1.35","4.04","4.06","15890"
"Jaime Garcia","Cardinals","7.86","2.99","2.63","1.36","20.2 %","7.7 %","12.6 %",".264","1.37",".305","72.1 %","115","110","91","4.67","4.49","0.18","3.77","3.93","8137"
"Drew Smyly","Rays","8.57","2.52","3.41","1.64","22.6 %","6.6 %","16.0 %",".253","1.27",".291","67.7 %","119","108","106","4.88","4.49","0.39","4.51","4.16","11760"
"Rubby de la Rosa","Diamondbacks","9.59","3.55","2.70","1.42","24.3 %","9.0 %","15.3 %",".217","1.24",".257","73.5 %","97","107","93","4.26","4.49","-0.23","3.85","3.86","3862"
"Jesse Chavez","- - -","8.46","2.42","3.50","1.61","22.3 %","6.4 %","16.0 %",".271","1.33",".316","74.1 %","107","107","98","4.43","4.49","-0.06","4.10","3.59","5448"
"Martin Perez","Rangers","4.67","3.44","1.36","0.82","12.1 %","8.9 %","3.2 %",".265","1.41",".286","67.4 %","100","104","112","4.39","4.50","-0.10","4.77","5.11","6902"
"Wei-Yin Chen","Marlins","7.30","1.75","4.17","1.61","19.2 %","4.6 %","14.6 %",".272","1.28",".302","70.7 %","123","112","101","4.96","4.50","0.46","4.18","4.14","13071"
"Vidal Nuno","Mariners","7.82","1.69","4.64","1.69","20.7 %","4.5 %","16.2 %",".286","1.33",".326","88.2 %","87","108","97","3.53","4.51","-0.98","4.12","3.66","9674"
"Neftali Feliz","Pirates","10.23","3.52","2.90","1.68","28.0 %","9.6 %","18.4 %",".204","1.14",".240","85.4 %","86","111","90","3.52","4.53","-1.00","3.72","3.36","18"
"Tony Cingrani","Reds","7.00","5.29","1.32","0.71","18.1 %","13.7 %","4.4 %",".234","1.44",".277","73.6 %","99","107","127","4.14","4.53","-0.38","5.27","5.01","12555"
"Travis Wood","Cubs","6.93","3.54","1.96","1.18","18.7 %","9.5 %","9.1 %",".198","1.13",".215","78.2 %","70","109","117","2.95","4.54","-1.59","4.83","4.46","9884"
"Edinson Volquez","Royals","6.61","3.61","1.83","1.09","16.3 %","8.9 %","7.4 %",".282","1.55",".319","65.7 %","126","110","108","5.37","4.57","0.80","4.58","4.72","3990"
"Jordan Lyles","Rockies","4.91","4.30","1.14","0.61","11.7 %","10.3 %","1.5 %",".286","1.65",".317","57.7 %","121","104","124","5.83","4.58","1.25","5.14","5.13","7593"
"Kevin Quackenbush","Padres","6.34","3.32","1.91","1.21","16.6 %","8.7 %","7.9 %",".238","1.29",".260","76.0 %","99","113","122","3.92","4.59","-0.67","5.05","4.66","12360"
"Yordano Ventura","Royals","6.97","3.77","1.85","1.11","17.7 %","9.6 %","8.1 %",".260","1.44",".297","73.8 %","104","111","108","4.45","4.59","-0.14","4.59","4.71","11855"
"Tom Koehler","Marlins","7.49","4.23","1.77","1.12","19.0 %","10.7 %","8.3 %",".257","1.47",".298","73.3 %","107","114","113","4.33","4.60","-0.27","4.69","4.85","6570"
"Chien-Ming Wang","Royals","5.06","3.04","1.67","1.01","13.0 %","7.8 %","5.2 %",".284","1.46",".309","74.0 %","99","111","109","4.22","4.61","-0.39","4.65","4.57","2074"
"JC Ramirez","- - -","6.75","2.52","2.68","1.37","17.6 %","6.6 %","11.0 %",".249","1.26",".273","71.9 %","105","110","98","4.35","4.62","-0.27","4.12","3.81","8302"
"Colin Rea","- - -","7.01","3.86","1.82","1.05","17.6 %","9.7 %","7.9 %",".254","1.42",".290","66.3 %","121","114","115","4.82","4.63","0.19","4.75","4.82","12317"
"Felix Hernandez","Mariners","7.16","3.82","1.88","1.12","18.6 %","9.9 %","8.7 %",".238","1.32",".271","73.5 %","94","111","105","3.82","4.63","-0.82","4.45","4.63","4772"
"Albert Suarez","Giants","5.79","2.79","2.08","1.18","15.2 %","7.3 %","7.9 %",".258","1.31",".281","73.0 %","107","118","111","4.29","4.63","-0.35","4.58","4.65","6175"
"Sonny Gray","Athletics","7.23","3.23","2.24","1.38","18.2 %","8.1 %","10.1 %",".281","1.50",".319","63.9 %","138","112","97","5.69","4.67","1.02","4.13","4.32","12768"
"Antonio Bastardo","- - -","9.84","4.26","2.31","1.46","24.9 %","10.8 %","14.1 %",".230","1.36",".278","73.2 %","113","114","114","4.52","4.67","-0.15","4.72","3.96","8844"
"Ian Kennedy","Royals","8.46","3.04","2.79","1.52","22.5 %","8.1 %","14.4 %",".234","1.22",".268","83.1 %","86","112","110","3.68","4.67","-0.99","4.67","4.27","6986"
"Jared Hughes","Pirates","5.16","3.34","1.55","0.91","13.2 %","8.6 %","4.7 %",".270","1.42",".295","80.7 %","74","115","115","3.03","4.68","-1.65","4.77","4.46","9325"
"Dylan Bundy","Orioles","8.53","3.45","2.48","1.48","21.9 %","8.9 %","13.1 %",".256","1.38",".299","79.7 %","95","107","109","4.02","4.70","-0.68","4.61","4.23","12917"
"Kyle Gibson","Twins","6.35","3.36","1.89","1.22","15.9 %","8.4 %","7.5 %",".295","1.56",".330","70.4 %","118","110","106","5.07","4.70","0.37","4.50","4.73","10123"
"Wily Peralta","Brewers","6.56","3.03","2.16","1.34","16.8 %","7.8 %","9.0 %",".299","1.53",".336","72.9 %","114","111","102","4.86","4.71","0.16","4.22","4.51","7738"
"Jose Urena","Marlins","6.24","3.12","2.00","1.18","15.6 %","7.8 %","7.8 %",".269","1.43",".297","60.6 %","151","117","113","6.13","4.72","1.41","4.69","4.66","11589"
"Tyler Duffey","Twins","7.71","2.17","3.56","1.69","19.1 %","5.4 %","13.8 %",".299","1.50",".339","60.0 %","149","110","92","6.43","4.73","1.70","3.89","4.02","13758"
"Derek Holland","Rangers","5.62","2.93","1.91","1.26","14.5 %","7.6 %","6.9 %",".274","1.41",".295","68.9 %","112","110","121","4.95","4.75","0.20","5.14","5.10","4141"
"Doug Fister","Astros","5.74","3.09","1.85","1.20","14.8 %","8.0 %","6.8 %",".275","1.43",".299","72.1 %","114","112","115","4.64","4.75","-0.11","4.89","4.97","9425"
"Matt Boyd","Tigers","7.58","2.68","2.83","1.57","19.9 %","7.0 %","12.9 %",".256","1.29",".286","74.4 %","106","110","112","4.53","4.75","-0.22","4.74","4.38","15440"
"Erasmo Ramirez","Rays","6.25","2.58","2.42","1.39","16.7 %","6.9 %","9.8 %",".259","1.28",".280","80.7 %","92","115","103","3.77","4.76","-0.98","4.38","4.10","10314"
"Williams Perez","Braves","4.53","2.52","1.80","1.17","11.6 %","6.4 %","5.2 %",".264","1.34",".275","57.6 %","145","119","113","6.04","4.79","1.25","4.67","4.76","11592"
"Yusmeiro Petit","Nationals","7.11","2.18","3.27","1.74","18.5 %","5.7 %","12.8 %",".268","1.32",".291","75.2 %","107","118","107","4.50","4.81","-0.31","4.44","4.03","4020"
"Colby Lewis","Rangers","5.65","2.17","2.61","1.47","15.5 %","5.9 %","9.5 %",".234","1.13",".241","75.4 %","84","111","121","3.71","4.81","-1.10","5.14","4.95","1259"
"Vance Worley","Orioles","5.82","3.63","1.60","1.14","15.3 %","9.6 %","5.8 %",".257","1.37",".281","79.7 %","83","110","116","3.53","4.82","-1.29","4.92","4.79","6435"
"Patrick Corbin","Diamondbacks","7.57","3.82","1.98","1.39","18.7 %","9.4 %","9.3 %",".281","1.56",".322","64.8 %","117","115","102","5.15","4.84","0.31","4.23","4.38","9323"
"Luis Perdomo","Padres","6.44","2.82","2.28","1.41","15.9 %","7.0 %","8.9 %",".307","1.59",".341","67.9 %","144","119","97","5.71","4.84","0.87","4.00","4.04","14682"
"Jeff Locke","Pirates","5.16","3.11","1.66","1.20","12.9 %","7.8 %","5.1 %",".292","1.53",".314","67.2 %","133","119","119","5.44","4.84","0.60","4.91","5.06","2929"
"Andrew Cashner","- - -","7.64","4.09","1.87","1.30","19.1 %","10.2 %","8.8 %",".273","1.53",".315","69.1 %","131","120","112","5.25","4.84","0.41","4.63","4.72","8782"
"Cody Anderson","Indians","8.01","1.93","4.15","1.93","20.0 %","4.8 %","15.2 %",".332","1.62",".381","66.8 %","155","114","92","6.68","4.84","1.83","3.93","3.92","12799"
"Matt Wisler","Braves","6.61","2.81","2.35","1.49","17.1 %","7.3 %","9.8 %",".257","1.33",".279","69.5 %","120","121","114","5.00","4.85","0.15","4.71","4.70","12804"
"Mike Clevinger","Indians","8.49","4.92","1.72","1.36","21.5 %","12.5 %","9.0 %",".245","1.49",".288","70.8 %","122","114","114","5.26","4.86","0.40","4.82","4.77","12808"
"Shelby Miller","Diamondbacks","6.24","3.74","1.67","1.25","15.2 %","9.1 %","6.1 %",".305","1.67",".340","65.4 %","140","116","122","6.15","4.87","1.28","5.06","5.13","10197"
"Josh Tomlin","Indians","6.10","1.03","5.90","1.86","16.3 %","2.8 %","13.5 %",".266","1.19",".276","70.8 %","102","115","97","4.40","4.88","-0.48","4.13","4.24","9388"
"Dan Straily","Reds","7.62","3.43","2.22","1.46","20.5 %","9.2 %","11.2 %",".218","1.19",".239","81.2 %","90","115","121","3.76","4.88","-1.11","5.02","4.67","9460"
"Arquimedes Caminero","- - -","7.42","4.90","1.52","1.04","17.9 %","11.8 %","6.1 %",".277","1.65",".324","77.7 %","87","119","128","3.56","4.88","-1.32","5.33","4.79","8992"
"Jarred Cosart","- - -","6.00","6.16","0.97","0.63","14.2 %","14.6 %","-0.4 %",".269","1.75",".308","63.3 %","150","121","120","6.00","4.88","1.12","4.96","5.40","10304"
"Francisco Liriano","- - -","9.28","4.69","1.98","1.44","23.0 %","11.6 %","11.4 %",".246","1.48",".296","71.3 %","114","118","101","4.69","4.89","-0.20","4.23","4.38","3201"
"Tyler Wilson","Orioles","5.27","2.30","2.29","1.44","13.3 %","5.8 %","7.5 %",".285","1.43",".301","69.2 %","124","113","113","5.27","4.94","0.32","4.78","4.79","12691"
"Zack Godley","Diamondbacks","7.23","3.01","2.40","1.57","17.9 %","7.5 %","10.5 %",".281","1.49",".313","63.0 %","146","119","102","6.39","4.97","1.42","4.20","4.16","14862"
"Wade LeBlanc","- - -","7.40","1.60","4.64","2.03","20.2 %","4.4 %","15.9 %",".245","1.13",".256","79.4 %","93","120","102","3.77","4.97","-1.19","4.29","4.03","5221"
"Nathan Eovaldi","Yankees","7.00","2.89","2.43","1.66","18.5 %","7.6 %","10.9 %",".254","1.31",".275","74.4 %","112","113","99","4.76","4.98","-0.21","4.22","4.36","9132"
"Adam Morgan","Phillies","7.54","2.30","3.28","1.83","18.8 %","5.7 %","13.0 %",".298","1.50",".332","65.6 %","145","117","107","6.04","4.98","1.05","4.42","4.33","12580"
"Taijuan Walker","Mariners","7.97","2.48","3.22","1.81","20.8 %","6.5 %","14.3 %",".244","1.24",".267","72.7 %","104","120","101","4.22","4.99","-0.77","4.28","4.13","11836"
"Joe Smith","- - -","6.92","3.12","2.22","1.38","18.4 %","8.3 %","10.1 %",".244","1.25",".269","85.3 %","85","120","102","3.46","4.99","-1.53","4.31","4.02","3281"
"Ryan Vogelsong","Pirates","6.67","4.37","1.53","1.20","16.7 %","10.9 %","5.7 %",".252","1.47",".280","67.5 %","117","123","126","4.81","5.00","-0.20","5.21","5.15","1011"
"R.A. Dickey","Blue Jays","6.68","3.34","2.00","1.49","17.3 %","8.7 %","8.7 %",".256","1.37",".279","70.9 %","105","117","112","4.46","5.03","-0.57","4.76","4.81","1245"
"Yovani Gallardo","Orioles","6.48","4.65","1.39","1.22","16.2 %","11.6 %","4.6 %",".272","1.58",".303","68.8 %","127","115","123","5.42","5.04","0.37","5.22","5.34","8173"
"Clay Buchholz","Red Sox","6.01","3.55","1.69","1.36","15.8 %","9.4 %","6.5 %",".246","1.33",".263","68.5 %","110","122","125","4.78","5.06","-0.28","5.32","5.09","3543"
"Anibal Sanchez","Tigers","7.92","3.11","2.55","1.76","20.2 %","7.9 %","12.3 %",".280","1.46",".317","64.7 %","137","117","109","5.87","5.06","0.81","4.62","4.39","3284"
"Phil Hughes","Twins","5.19","1.98","2.62","1.68","13.1 %","5.0 %","8.1 %",".309","1.51",".323","66.6 %","138","118","119","5.95","5.08","0.87","5.05","5.04","7450"
"Chase Anderson","Brewers","7.12","3.15","2.26","1.66","18.6 %","8.2 %","10.4 %",".263","1.37",".287","74.7 %","103","120","115","4.39","5.09","-0.70","4.76","4.68","6895"
"Jimmy Nelson","Brewers","7.03","4.32","1.63","1.25","17.4 %","10.7 %","6.7 %",".264","1.52",".299","71.3 %","108","120","119","4.62","5.12","-0.50","4.91","4.92","10547"
"Adam Warren","- - -","7.16","3.99","1.79","1.52","18.8 %","10.5 %","8.3 %",".239","1.35",".261","70.7 %","111","121","116","4.68","5.12","-0.44","4.87","4.54","9029"
